pos	3pG>A
1	0.027386638138371
2	0.0396617728790039
3	0.0246119039447686
4	0.0252035645393923
5	0.023802905874921
6	0.026733814779114
7	0.0285956278367662
8	0.0249333247793531
9	0.0248069746760748
10	0.0269104051728193
11	0.023955189607663
12	0.0259863923694327
13	0.0263423133220894
14	0.0252012909236093
15	0.024107166617878
16	0.0239910688783152
17	0.0241461271971151
18	0.0242260887844557
19	0.0219739856034854
20	0.0227082861069675
21	0.0245861135971748
22	0.0241786019457718
23	0.0246226665126299
24	0.0303555878864326
25	0.0275534639119593
