"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0451435709391919,0.0255911072364444,0.0405636468053263,0.561948084012799,0.721181882296827,-10893.9843330209
"Std.",0.000281441896621023,0.000358891235839574,0.0274402999338608,0.141548514239447,0.00538712800333068,1.80953598266852
"Acceptance ratio",0.1542,0.28892,0.22728,0.17674,0.22348,0.70208
"0%",0.0441490529479868,0.0222154296716585,0.00124971395231715,0.0222406988434696,0.701490339099139,-10905.3140314412
"2.5%",0.0446119464116445,0.024911077225817,0.0296548559619034,0.275690977541228,0.710465227247322,-10898.5332855249
"5%",0.0446920943213136,0.0250449782638151,0.0306474475871855,0.344731357841881,0.712112233182225,-10897.6594937989
"7.5%",0.0447421624507705,0.0251189199304718,0.0314005722786011,0.377746790716881,0.713281758775332,-10896.9463933328
"10%",0.0447856101865177,0.0251753776838434,0.0319456945480736,0.402433645858798,0.714188717516857,-10896.438818485
"12.5%",0.04481977029848,0.0252228643351649,0.0324597331737232,0.419549635576168,0.71489559079902,-10896.0812957354
"15%",0.0448519595587687,0.0252648975729926,0.0328907050316472,0.436974480526402,0.715526340254083,-10895.7728020951
"17.5%",0.0448757036047011,0.0253003809135747,0.0332750606294174,0.451006277698489,0.71607687733631,-10895.5052241637
"20%",0.044900827595711,0.0253336598252194,0.0336247896223837,0.46297764944229,0.716575492146277,-10895.2770625913
"22.5%",0.0449241961581391,0.0253603418430984,0.033965125653315,0.473566186768057,0.717032987850184,-10895.0717616341
"25%",0.0449438026752132,0.0253871773965981,0.03432515901328,0.484621380212972,0.717464048086398,-10894.8986145936
"27.5%",0.0449667196526716,0.0254109907787262,0.0346334201678498,0.493694223419481,0.717934232022319,-10894.7282570405
"30%",0.0449868102637467,0.0254352079689977,0.0349612979761478,0.502733982704141,0.718350899617871,-10894.568573721
"32.5%",0.0450057712354818,0.0254588346432601,0.0352641565015099,0.510586538277906,0.718777238534437,-10894.4186729333
"35%",0.0450216215486371,0.0254803248130437,0.0355297133758508,0.517879627839549,0.719117541913035,-10894.2778447772
"37.5%",0.0450400372869353,0.0255008348604963,0.0358036204318213,0.525852352688188,0.7194664716784,-10894.1512539792
"40%",0.0450590287844673,0.0255201186968713,0.0361196143186486,0.533572456354811,0.719825985325281,-10894.039572742
"42.5%",0.0450799020928502,0.02554174294297,0.0363791011904116,0.541138992949885,0.720157458732697,-10893.9175440336
"45%",0.0450975940358915,0.025561066210783,0.0367041822818908,0.549324284264237,0.720505880260448,-10893.7973430407
"47.5%",0.0451171728181939,0.0255806939146613,0.0370197661216256,0.555662895836263,0.720945495460013,-10893.6823300347
"50%",0.0451374714688853,0.025599617047316,0.0373002285339834,0.561285005860269,0.721265696917033,-10893.5832295036
"52.5%",0.0451579026053588,0.0256207945527847,0.0376102705599747,0.568477450837765,0.721644058383304,-10893.4827748753
"55%",0.0451749053110294,0.0256423922883594,0.0378865093874079,0.575916721795246,0.721973616251183,-10893.3877825076
"57.5%",0.0451933888345651,0.0256635169386245,0.0381676488188599,0.583055908477455,0.722331871560179,-10893.2948669302
"60%",0.0452160024936649,0.0256848854734882,0.0385203999018869,0.590055277946812,0.722709867523348,-10893.1946567552
"62.5%",0.0452386457336646,0.025706561574916,0.0387967800797897,0.597726146374022,0.723044057236398,-10893.1023556222
"65%",0.0452573753651305,0.025727888314929,0.0391418652436537,0.604760446416763,0.723358813475774,-10893.0056205779
"67.5%",0.0452778011243153,0.0257486491783655,0.0395110097392907,0.613382261747786,0.723700402473412,-10892.9103854006
"70%",0.0452980280713094,0.0257722915689134,0.039903230630535,0.621597881768489,0.72411039955466,-10892.8154251327
"72.5%",0.0453175854130071,0.0257961024146567,0.0402637684051667,0.628132389317323,0.724520150508824,-10892.7323674235
"75%",0.0453371993388877,0.0258205454909043,0.0407216167299741,0.635624176722336,0.724903065723872,-10892.6397735244
"77.5%",0.0453632903719118,0.0258480716796677,0.0411696997787094,0.645817518272472,0.725316655705919,-10892.5484371266
"80%",0.0453900685784555,0.0258775876656133,0.0417083653305131,0.656899432071471,0.725797517188813,-10892.4581698748
"82.5%",0.0454143721203702,0.0259065369131103,0.042271508070586,0.670623545244236,0.726329493313489,-10892.3668447678
"85%",0.0454410690546765,0.0259397912323655,0.0429498815515205,0.685179910725441,0.72686669388745,-10892.2760964194
"87.5%",0.0454710903354725,0.0259761545746971,0.0437799430577444,0.701252605763453,0.727347501476435,-10892.1822498728
"90%",0.0455061879453827,0.0260146810423638,0.0447738501662855,0.720762096676808,0.727988876883621,-10892.0725729632
"92.5%",0.0455506811948647,0.026061944429405,0.046168078982977,0.747647631347733,0.728782348121522,-10891.9551600235
"95%",0.0456060282926377,0.0261278618585053,0.0486251494685442,0.787537398140003,0.729822840656435,-10891.8305842786
"97.5%",0.0456898212038248,0.0262203029600272,0.0544505421434275,0.887170222100975,0.731435398038911,-10891.6633415348
"100%",0.0461957043692481,0.0268094155000697,0.529240351685832,0.999522666601565,0.740477040350177,-10891.2019810387
