pos	5pC>T
1	0.00568866192385945
2	0.0146294622684139
3	0.00848998400279542
4	0.0126389862602622
5	0.010500115041101
6	0.0139328420024213
7	0.017646576017072
8	0.0117469732474126
9	0.0143926166126216
10	0.0168824009935512
11	0.0125887926649138
12	0.0144578313253012
13	0.0155279107670368
14	0.0172413793103448
15	0.016184724413522
16	0.0168064981563619
17	0.014411243151682
18	0.0151394154950844
19	0.0139239698941191
20	0.0129504122547901
21	0.0145657894736842
22	0.0182331642798386
23	0.015739461943343
24	0.0184956510590633
25	0.0180619266055046
