pos	5pC>T
1	0.0348955094964915
2	0.0597596820843229
3	0.033840387533258
4	0.0368309044644922
5	0.0334403293787075
6	0.0359768517893998
7	0.0367357136367766
8	0.031291700553507
9	0.0315791373724064
10	0.0319624708144486
11	0.0280612584323483
12	0.0286434463794684
13	0.0291396035821118
14	0.0285391822827939
15	0.0272548949035416
16	0.0266270468360689
17	0.0238348157684758
18	0.0266245487364621
19	0.0232394693972539
20	0.0233796522816975
21	0.024977251828279
22	0.025477472502186
23	0.0266233304916169
24	0.0387103757386115
25	0.0369134582678696
