"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0603715036370589,0.00125917083319201,3.74550574276948e-05,0.166320485213887,0.37816017316068,-3902.97416218735
"Std.",0.000306803135504051,0.000273199476400095,3.74772063146605e-05,0.0399142674835395,0.00254322185891237,1.78668890646483
"Acceptance ratio",0.18028,0.242,0.10418,0.17248,0.25072,0.65398
"0%",0.059202566785208,0.000270555014135084,1.61094498478626e-08,0.0520143579205116,0.368097903438528,-3914.76201442346
"2.5%",0.0597758353586151,0.000713090404583629,1.37753987127919e-06,0.09878609363503,0.37318649935629,-3907.38144185569
"5%",0.0598733056337762,0.000813695223853009,2.18884656116158e-06,0.107463022464436,0.373971377826807,-3906.37368015914
"7.5%",0.0599350128089262,0.000870961120153757,2.88315677741212e-06,0.114616097733975,0.374513082810374,-3905.84064635777
"10%",0.0599812184870886,0.000913809153851751,3.63711068113269e-06,0.1195181895364,0.374934982583332,-3905.3999987049
"12.5%",0.0600207731293158,0.00095195234069682,4.56825989891959e-06,0.123342936674313,0.375256480353077,-3905.05982243095
"15%",0.060055271518519,0.000980417845406712,5.76200090279739e-06,0.127252901311607,0.375502785031841,-3904.76934168646
"17.5%",0.0600832859282912,0.00100708320795956,6.81753743289972e-06,0.130387264168831,0.375770718933159,-3904.50966768931
"20%",0.0601122578043218,0.00103182238535222,8.03764844863809e-06,0.133104678729587,0.376001414276959,-3904.29077426835
"22.5%",0.0601404676144723,0.0010539953480657,9.13502950442232e-06,0.136224243329021,0.376249974225827,-3904.10810341771
"25%",0.0601651472036483,0.00107667196872455,1.04454296679471e-05,0.139170759031002,0.376461136719264,-3903.91854952207
"27.5%",0.0601891215170808,0.00109501869591795,1.19928507445745e-05,0.141472259775835,0.376633498176219,-3903.7628753601
"30%",0.060212061364815,0.00111580054946328,1.35097377398426e-05,0.14364414405134,0.376816631390986,-3903.61500243379
"32.5%",0.0602323603088354,0.00113627601820188,1.48808769899823e-05,0.146134095862422,0.376984725928481,-3903.46821574584
"35%",0.0602514709958019,0.00115473981445219,1.60467694759603e-05,0.148924410350571,0.37718184960096,-3903.33703875366
"37.5%",0.0602683980403585,0.00116925290616284,1.77052801592121e-05,0.150929671365463,0.377358065141677,-3903.20907121853
"40%",0.0602912898109257,0.00118634633135181,1.92222659966629e-05,0.153255112332816,0.377526731089242,-3903.09155744387
"42.5%",0.0603082680178615,0.00120442036951996,2.09708608442663e-05,0.155883790071611,0.37768079728404,-3902.97516032138
"45%",0.0603263692574531,0.00122088536923487,2.31295687889871e-05,0.158495746749101,0.377830714898456,-3902.86102006384
"47.5%",0.060346120395032,0.00123803088302516,2.50354147397927e-05,0.160912127624643,0.378012953802888,-3902.75168571248
"50%",0.0603681642352108,0.00125408315030015,2.70852237977793e-05,0.162839261796078,0.378154022518793,-3902.63522087959
"52.5%",0.0603875197257264,0.00127121303206383,2.87361226215373e-05,0.164915616644679,0.378326498083029,-3902.53013394587
"55%",0.0604093128986478,0.00129045387312748,3.05210100957822e-05,0.167242134400693,0.378482172323711,-3902.42181480469
"57.5%",0.0604283728382648,0.00130966516824004,3.22944474910974e-05,0.169858915205579,0.378638474610525,-3902.32487437744
"60%",0.0604496837742762,0.00132891908885958,3.43040744993224e-05,0.172326390978746,0.378787131952956,-3902.2330699011
"62.5%",0.0604698425616951,0.00134808039978582,3.62479477824462e-05,0.17453436834669,0.378954607662906,-3902.13854627562
"65%",0.0604875548143138,0.0013640289432122,3.89056078704986e-05,0.176836719007882,0.379112863854563,-3902.04291369816
"67.5%",0.0605093424676856,0.00138295680608104,4.18504694134442e-05,0.179850947017579,0.379266703960518,-3901.93787116255
"70%",0.0605303305145738,0.00140454568954618,4.44965876246962e-05,0.183145437239265,0.379456874504869,-3901.84383796623
"72.5%",0.0605512235855354,0.00142582845285877,4.75776616983675e-05,0.186594591460275,0.379642708979818,-3901.74952697856
"75%",0.0605758428574437,0.00144730214309893,5.12899424230433e-05,0.18932345924746,0.379839623432266,-3901.65381176843
"77.5%",0.0606029339569628,0.00146487632299494,5.51279151725681e-05,0.192869291642221,0.380070076827793,-3901.55387832108
"80%",0.0606296641321186,0.00148756325615187,5.97884349394126e-05,0.196792936116264,0.380306454107721,-3901.45311023641
"82.5%",0.0606594719450274,0.00151282365639654,6.48567163107696e-05,0.200495022161881,0.38055983666988,-3901.34972865815
"85%",0.0606915144294329,0.00154331851820235,7.10758388962382e-05,0.20502522999466,0.380829555934964,-3901.24650341025
"87.5%",0.0607278119690754,0.00157203707217003,7.83245857602002e-05,0.210717164246984,0.381125263803077,-3901.13465506919
"90%",0.0607645505650848,0.0016117820193746,8.6451813501038e-05,0.217753080650836,0.381449086560182,-3901.01666453479
"92.5%",0.0608093328276297,0.00165741145959475,9.56176089337652e-05,0.225664086373808,0.381856494737631,-3900.87700190965
"95%",0.0608759865806001,0.00171368565624476,0.000113834470635423,0.236643771234347,0.382357130480124,-3900.72078269166
"97.5%",0.0609879489245496,0.00179594611957449,0.000140767481805334,0.254786122461819,0.383204525481254,-3900.50989655332
"100%",0.0615102069294774,0.00248212556429948,0.000398727858299757,0.469148684577875,0.388568026554906,-3899.93800725408
