Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Gmi-ABas_028-Ex1-b-cssl2.clmp.r1	0.12370638002088387	0.0
Gmi-ABas_028-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_029-Ex1-b-cssl.clmp.r1	0.0	0.0
Gmi-ABas_029-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_030-Ex1-b-cssl2.clmp.r1	0.0	0.0
Gmi-ABas_030-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_031-Ex1-b-cssl.clmp.r1	0.13842837649881676	0.0
Gmi-ABas_031-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_032-Ex1-b-cssl.clmp.r1	0.12743159134593182	0.0
Gmi-ABas_032-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_033-Ex1-b-cssl2.clmp.r1	0.17064390118211012	0.0
Gmi-ABas_033-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_034-Ex1-b-cssl2.clmp.r1	0.1646566664443536	0.0
Gmi-ABas_034-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_035-Ex1-b-cssl2.clmp.r1	0.11415590715409694	0.0
Gmi-ABas_035-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_036-Ex1-b-cssl.clmp.r1	0.0	0.0
Gmi-ABas_036-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_037-Ex1-b-cssl.clmp.r1	0.15746667771086256	0.0
Gmi-ABas_037-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_038-Ex1-b-cssl.clmp.r1	0.12457643832646018	0.0
Gmi-ABas_038-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_039-Ex1-b-cssl.clmp.r1	0.14532119160729298	0.0
Gmi-ABas_039-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_040-Ex1-b-cssl.clmp.r1	0.12809710371139912	0.0
Gmi-ABas_040-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_041-Ex1-b-cssl.clmp.r1	0.1382274682300019	0.0
Gmi-ABas_041-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_042-Ex1-b-cssl.clmp.r1	0.0	0.0
Gmi-ABas_042-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_043-Ex1-b-cssl.clmp.r1	0.1477588745138926	0.0
Gmi-ABas_043-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_045-Ex1-b-cssl2.clmp.r1	0.31320604372441607	10.716021478263606
Gmi-ABas_045-Ex1-b-cssl2.clmp.r2	0.2812698655721029	8.914350142838108
Gmi-ABas_046-Ex1-b-cssl.clmp.r1	0.14903852228540232	0.0
Gmi-ABas_046-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_047-Ex1-b-cssl2.clmp.r1	0.18586100556304688	0.0
Gmi-ABas_047-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_048-Ex1-b-cssl.clmp.r1	0.10919749975379875	0.0
Gmi-ABas_048-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_049-Ex1-b-cssl2.clmp.r1	0.3085456037757729	8.816256016941477
Gmi-ABas_049-Ex1-b-cssl2.clmp.r2	0.2550912739340788	6.995469187236032
Gmi-ABas_050-Ex1-b-cssl.clmp.r1	0.0	0.0
Gmi-ABas_050-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_051-Ex1-b-cssl.clmp.r1	0.0	0.0
Gmi-ABas_051-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_052-Ex1-b-cssl.clmp.r1	0.11831881879814936	0.0
Gmi-ABas_052-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_053-Ex1-b-cssl.clmp.r1	0.1325660030019111	0.0
Gmi-ABas_053-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_055-Ex1-b-cssl2.clmp.r1	0.0	0.0
Gmi-ABas_055-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_056-Ex1-b-cssl.clmp.r1	0.14213020013326025	0.0
Gmi-ABas_056-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_057-Ex1-b-cssl.clmp.r1	0.13178833015439007	0.0
Gmi-ABas_057-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-ABas_058-Ex1-b-cssl2.clmp.r1	0.1375143585086486	0.0
Gmi-ABas_058-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_059-Ex1-b-cssl2.clmp.r1	0.14732793242837397	0.0
Gmi-ABas_059-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_060-Ex1-b-cssl2.clmp.r1	0.13669178216753322	0.0
Gmi-ABas_060-Ex1-b-cssl2.clmp.r2	0.0	0.0
Gmi-ABas_061-Ex1-b-cssl.clmp.r1	0.16868196271660385	0.0
Gmi-ABas_061-Ex1-b-cssl.clmp.r2	0.0	0.0
Gmi-AHam_001-Ex1-cssl2.clmp.r1	0.0	0.0
Gmi-AHam_001-Ex1-cssl2.clmp.r2	0.0	0.0
Gmi-AHam_002-Ex1-cssl2.clmp.r1	0.0	0.0
Gmi-AHam_002-Ex1-cssl2.clmp.r2	0.0	0.0
Gmi-AHam_005-Ex1-cssl.clmp.r1	0.0	0.0
Gmi-AHam_005-Ex1-cssl.clmp.r2	0.0	0.0
Gmi-AHam_006-Ex1-cssl.clmp.r1	0.3033634891087388	9.497241690096578
Gmi-AHam_006-Ex1-cssl.clmp.r2	0.27233659536394395	7.431845903729715
Gmi-AHam_007-Ex1-cssl.clmp.r1	0.13387399108727688	0.10189819352750301
Gmi-AHam_007-Ex1-cssl.clmp.r2	0.131044933328787	0.10014864465054216
Gmi-AHam_008-Ex1-cssl.clmp.r1	0.19391465243851522	3.7933330863749517
Gmi-AHam_008-Ex1-cssl.clmp.r2	0.18115862409020428	2.3799777025880196
Gmi-AHam_009-Ex1-cssl.clmp.r1	0.1476185383428768	0.6720046385378706
Gmi-AHam_009-Ex1-cssl.clmp.r2	0.1223146677724273	0.32879879723278693
Gmi-AHam_012-Ex1-cssl.clmp.r1	0.0	0.0
Gmi-AHam_012-Ex1-cssl.clmp.r2	0.0	0.0
Gmi-AHam_013-Ex1-cssl2.clmp.r1	0.0	0.0
Gmi-AHam_013-Ex1-cssl2.clmp.r2	0.0	0.0
Gmi-AHam_015-Ex1-cssl2.clmp.r1	0.16360503846012292	1.6957705366015239
Gmi-AHam_015-Ex1-cssl2.clmp.r2	0.1306252530271245	1.0113609178903977
Gmi-AHam_016-Ex1-cssl2.clmp.r1	0.16122712997451694	0.20794666633560727
Gmi-AHam_016-Ex1-cssl2.clmp.r2	0.14826469511075213	0.0
Gmi-AHam_019-Ex1-cssl.clmp.r1	0.0	0.0
