pos	5pC>T
1	0.00607769728205378
2	0.0123124855758135
3	0.00852461370040021
4	0.0104286860295168
5	0.0110880866688479
6	0.0140719985990544
7	0.0162696908069353
8	0.0128821380503749
9	0.0144739050176204
10	0.0159818388195233
11	0.0135007719167366
12	0.0139131858126426
13	0.014735432016075
14	0.0148933032798972
15	0.0148117342205445
16	0.0154374492550087
17	0.0140603865788211
18	0.0149803238571854
19	0.0146307678988832
20	0.0141566742380223
21	0.0152974258199703
22	0.016751685976137
23	0.0154453754603192
24	0.0159897946839981
25	0.0165164360510605
