Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r1_screen	2343913	78450.0	3.3499999999999996	461.0	0.02	0.0	0.0	17.0	0.0	11171.0	0.48	363801.0	15.520000000000001	193659.0	8.26	49148.0	2.1	69964.0	2.9899999999999998	40387.0	1.7200000000000002	48366.0	2.06	46241.0	1.9700000000000002	1911461	81.55
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r2_screen	2343913	78067.0	3.33	434.0	0.02	0.0	0.0	0.0	0.0	11140.0	0.48	354075.0	15.110000000000001	187257.0	7.99	48852.0	2.08	69568.0	2.97	40265.0	1.71	48038.0	2.05	46009.0	1.9700000000000002	1921305	81.97
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r1_screen	2397707	65103.0	2.72	247.0	0.01	0.0	0.0	15.0	0.0	9002.0	0.37	229804.0	9.59	154058.0	6.42	37199.0	1.5499999999999998	65236.0	2.7199999999999998	36664.0	1.53	44488.0	1.85	40271.0	1.68	2099672	87.57
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r2_screen	2397707	65021.0	2.7199999999999998	232.0	0.01	0.0	0.0	1.0	0.0	8901.0	0.38	223254.0	9.32	149984.0	6.25	36974.0	1.54	65105.0	2.71	36570.0	1.53	44467.0	1.84	40195.0	1.67	2106865	87.87
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r1_screen	1522511	42158.0	2.77	189.0	0.01	0.0	0.0	11.0	0.0	6726.0	0.44	174122.0	11.43	110035.0	7.23	26845.0	1.77	44784.0	2.9499999999999997	25517.0	1.6800000000000002	29475.0	1.94	27773.0	1.83	1305248	85.73
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r2_screen	1522511	42215.0	2.78	179.0	0.01	0.0	0.0	0.0	0.0	6523.0	0.42	171069.0	11.25	108135.0	7.09	26533.0	1.7400000000000002	44690.0	2.94	25471.0	1.67	29457.0	1.93	27662.0	1.8199999999999998	1308293	85.93
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r1_screen	6228769	28147.0	0.44999999999999996	1308.0	0.02	0.0	0.0	11.0	0.0	4105.0	0.06	1342816.0	21.560000000000002	360544.0	5.800000000000001	21572.0	0.33999999999999997	43264.0	0.6900000000000001	14252.0	0.22	16926.0	0.27	16539.0	0.26	4836016	77.64
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r2_screen	6228769	28213.0	0.44999999999999996	1269.0	0.02	0.0	0.0	2.0	0.0	4046.0	0.06	1263111.0	20.28	336295.0	5.390000000000001	21442.0	0.33999999999999997	42295.0	0.67	14536.0	0.22999999999999998	17217.0	0.28	16563.0	0.26	4916367	78.93
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r1_screen	2912566	65102.0	2.23	284.0	0.01	0.0	0.0	15.0	0.0	8826.0	0.31	219544.0	7.53	154379.0	5.3	35108.0	1.21	63760.0	2.18	35066.0	1.2000000000000002	43722.0	1.5	39753.0	1.3599999999999999	2620144	89.96
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r2_screen	2912566	65011.0	2.2199999999999998	299.0	0.01	0.0	0.0	3.0	0.0	8764.0	0.3	216303.0	7.4399999999999995	152644.0	5.24	34948.0	1.2000000000000002	63945.0	2.19	35175.0	1.21	43643.0	1.49	39848.0	1.3699999999999999	2623930	90.09
