Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r1_screen	23743.0	225910.0	8097.0	1638.0	792.0	175.0	100.0	243.0	7.0	0.0	0.0	171747.0	1911461.0
Gmi-ABas_001-Ex1-b-cssl2.clmp.fp2_r2_screen	23463.0	222279.0	8152.0	1530.0	750.0	205.0	127.0	265.0	0.0	0.0	0.0	165837.0	1921305.0
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r1_screen	25434.0	134505.0	3928.0	1959.0	905.0	241.0	194.0	131.0	5.0	0.0	0.0	130733.0	2099672.0
Gmi-ABas_003-Ex1-b-cssl2.clmp.fp2_r2_screen	25109.0	131557.0	3904.0	1993.0	895.0	237.0	171.0	126.0	5.0	0.0	0.0	126845.0	2106865.0
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r1_screen	17772.0	101565.0	2390.0	1255.0	440.0	122.0	101.0	124.0	6.0	0.0	0.0	93488.0	1305248.0
Gmi-ABas_004-Ex1-b-cssl2.clmp.fp2_r2_screen	17621.0	100361.0	2487.0	1265.0	464.0	118.0	83.0	111.0	1.0	0.0	0.0	91707.0	1308293.0
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r1_screen	29454.0	1019967.0	3818.0	2852.0	392.0	75.0	42.0	295.0	2.0	0.0	0.0	335856.0	4836016.0
Gmi-ABas_008-Ex1-b-cssl.clmp.fp2_r2_screen	28754.0	964204.0	3861.0	2872.0	389.0	75.0	48.0	266.0	2.0	0.0	0.0	311931.0	4916367.0
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r1_screen	27802.0	128505.0	3479.0	1876.0	945.0	330.0	226.0	163.0	7.0	0.0	0.0	129089.0	2620144.0
Gmi-ABas_009-Ex1-b-cssl.clmp.fp2_r2_screen	27662.0	126816.0	3437.0	1839.0	932.0	279.0	214.0	181.0	8.0	0.0	0.0	127268.0	2623930.0
