pos	3pG>A
1	0.00888893051834923
2	0.00858558948013954
3	0.00671780340042994
4	0.00830527912396878
5	0.00933381046102463
6	0.0126703298915122
7	0.0130423663796778
8	0.013681592039801
9	0.0120908341285798
10	0.0112379526527557
11	0.010727920123339
12	0.0121844367778325
13	0.0109250486577797
14	0.0110423783584157
15	0.0116932269090842
16	0.0114963756406113
17	0.0126799460505913
18	0.0128818854228879
19	0.0122036842008019
20	0.0114835103823519
21	0.0121381800097621
22	0.011202906301289
23	0.0122125106477538
24	0.0123599559630312
25	0.012136821820338
