"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.054153645254972,0.0271840574255177,0.00563433285153535,0.0482629460749264,0.509664351393885,-4428.90714558007
"Std.",0.000336702966466671,0.00347510874953678,0.00343665248708743,0.0267779039192097,0.00400568235476525,1.69148975041415
"Acceptance ratio",0.19346,0.22948,0.16476,0.19784,0.18296,0.65684
"0%",0.0529919432003263,0.018597366954925,5.43990566494808e-07,0.0113121981715212,0.493929330505337,-4441.8487283511
"2.5%",0.0534880612607521,0.0210572704755415,0.000245338385937335,0.0186728058524519,0.501852325400234,-4433.12959353023
"5%",0.0535954005997183,0.0216058888337823,0.000491260165681984,0.0211348031050469,0.503087213371827,-4432.10923550149
"7.5%",0.0536706958004324,0.0220456848709561,0.000739507420787878,0.0224510489852172,0.50388140498366,-4431.54606559169
"10%",0.0537244486439287,0.0224074951259688,0.00106965166765411,0.0236820819596541,0.504474066376985,-4431.14705737394
"12.5%",0.0537708249274051,0.0228444900798121,0.00136747662515423,0.0247115423272338,0.505066285731779,-4430.81896100222
"15%",0.0538072440121057,0.0232070358031721,0.00166099693005762,0.0258659883916637,0.505537034146792,-4430.5433020783
"17.5%",0.0538397192919268,0.023508645996786,0.00192247980933216,0.0268747399180105,0.505920812184609,-4430.30828757259
"20%",0.0538662899720958,0.0238461079203931,0.00217041336780375,0.0278349601627478,0.506288105532564,-4430.10848976761
"22.5%",0.0538973391980162,0.0241150556658997,0.00244890499851669,0.0285744746636261,0.506631729555324,-4429.93609526259
"25%",0.05392912888733,0.0243962047372834,0.00269879145329472,0.0294697321000315,0.506991981451944,-4429.76578068023
"27.5%",0.0539505325716764,0.0246701415255699,0.00296421868871089,0.0303984679882068,0.507277458190668,-4429.6090761994
"30%",0.0539749516582492,0.0249867585582245,0.00325326770622921,0.0313009902618165,0.507546574742739,-4429.46066900405
"32.5%",0.0539978704445763,0.0252307674127417,0.00353935967075739,0.0323402923675165,0.50783678536045,-4429.33248184446
"35%",0.0540221845512035,0.025481292700574,0.00382018680970258,0.033504316231216,0.508103314050234,-4429.20379702945
"37.5%",0.0540450235826009,0.0257352235304489,0.00404694527377579,0.0346303429043743,0.508371808609194,-4429.08081127806
"40%",0.0540673070771612,0.026005956247918,0.00431318435344615,0.035907075139035,0.508660994292669,-4428.96501004708
"42.5%",0.0540875885726824,0.0262968168993527,0.00463703696535018,0.0369497729826838,0.508909795787699,-4428.84662017063
"45%",0.0541101093348992,0.0265701439523625,0.00493440675126569,0.0382684670041281,0.509158035728916,-4428.7397918289
"47.5%",0.0541308536664175,0.0268715184776638,0.00526958871561914,0.0392575463600362,0.509421409672062,-4428.63802517016
"50%",0.0541547208814635,0.0271423028366046,0.00556665016323469,0.0405662154715929,0.509656924821868,-4428.53974863707
"52.5%",0.0541743101035056,0.0274249550074622,0.00584326183063211,0.0420246013190739,0.509922649446596,-4428.44338895281
"55%",0.054196407248372,0.0277309929107645,0.0061351741060978,0.0434370346987366,0.510180411623593,-4428.35127434267
"57.5%",0.0542150540227466,0.028021233795674,0.00638951758094549,0.044816141606453,0.510457277413838,-4428.26796544522
"60%",0.054235843321787,0.0283147357760139,0.00666167642060822,0.0464660614020809,0.510692927375999,-4428.1781758441
"62.5%",0.0542573828833639,0.0285816814774622,0.0069300861913842,0.0481519170424501,0.510940937506801,-4428.08666136168
"65%",0.054277845815824,0.0288820392379668,0.00718396230124417,0.0502232002010848,0.511201334595559,-4428.00787764583
"67.5%",0.0542994992193423,0.0292032701525185,0.00743409563848099,0.0519864205670735,0.51147518862053,-4427.92467197722
"70%",0.054326912924671,0.0295098171366919,0.00771433556578672,0.0541101023326228,0.511743023031699,-4427.8392688509
"72.5%",0.0543563806314846,0.029810106766008,0.00799884446638407,0.0561246627130251,0.512029214012083,-4427.75724798892
"75%",0.0543815303949478,0.0300925918235638,0.00824824207849578,0.0589434996561114,0.51231619797968,-4427.67349905974
"77.5%",0.0544094225762284,0.030406775776587,0.0085315406972053,0.0616263047346264,0.512578701783166,-4427.58964737768
"80%",0.0544365785790948,0.0307175401990615,0.00882494973268585,0.064724012407835,0.512935035180648,-4427.50636200852
"82.5%",0.0544687440487688,0.0309900608693544,0.00909218399575539,0.0683127336173585,0.513297280443934,-4427.42219869505
"85%",0.0545011495954018,0.0312718160448614,0.00953724951060485,0.0728400220817386,0.513746268149006,-4427.33257218768
"87.5%",0.0545411008586623,0.0315777425300798,0.00986934278616648,0.0782310995309135,0.514261207557772,-4427.23480606199
"90%",0.0545891202566172,0.0318489865560807,0.010292609279202,0.0841341167733642,0.514750661332526,-4427.13096645107
"92.5%",0.0546494657167403,0.0321853017541725,0.0108040424424804,0.0914746274074404,0.515464539998823,-4427.0111260614
"95%",0.0547067503979912,0.0325522186481249,0.0114334596063172,0.102191048250218,0.516385135648713,-4426.87530979681
"97.5%",0.054821912226089,0.0330767757382991,0.0122157286433131,0.118998707148722,0.517644227914429,-4426.71539925378
"100%",0.0556538575916298,0.0357060547417161,0.0166859102547944,0.267028926033779,0.525454962502901,-4426.3004228469
