"","Position","C.T","G.A"
"1",1,0.0625054800557566,0.0916900699860209
"2",2,0.0798909877131378,0.0903564605058374
"3",3,0.0906231018124453,0.092573266299628
"4",4,0.0982331900642518,0.0956472870092117
"5",5,0.104341062709098,0.0984237152685151
"6",6,0.107235927620004,0.102941652614898
"7",7,0.107212956026907,0.10913805571804
"8",8,0.105977315747881,0.115483120451946
"9",9,0.108245242770324,0.117606763827931
"10",10,0.112018659123186,0.1175939665369
"11",11,0.115996580708207,0.116793580887857
"12",12,0.120615119092145,0.114848168188306
"13",-12,0.115639081451521,0.119757684661987
"14",-11,0.119132538471482,0.11368896791131
"15",-10,0.121598047375353,0.108074727460594
"16",-9,0.121015118846495,0.104934981962493
"17",-8,0.117492062631261,0.104093536331998
"18",-7,0.111517146630628,0.10487674832288
"19",-6,0.105365705550332,0.104793523779617
"20",-5,0.100347109212711,0.102374067553939
"21",-4,0.0948156721623233,0.0990067615469382
"22",-3,0.0869966994788039,0.0961009498504115
"23",-2,0.0780822754382654,0.0920902870381351
"24",-1,0.0708056474406105,0.0838846069511112
