"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.047409167735214,0.00318772846934409,5.84319244173366e-05,0.155289085255866,0.518146621103786,-5380.43822611614
"Std.",0.000272179429112422,0.000273107569981341,5.91521357837936e-05,0.027931040210488,0.00380157392690083,1.7406811917665
"Acceptance ratio",0.15926,0.23868,0.15862,0.22576,0.1801,0.65926
"0%",0.0463504700599935,0.00218470752566504,1.34130338782917e-09,0.0650995588997526,0.503464485753082,-5393.31198478587
"2.5%",0.0468831493432624,0.00265062738568461,1.36773461028873e-06,0.106604752447919,0.510772578409111,-5384.71398060662
"5%",0.0469607721825653,0.00274392150992823,2.90309063771791e-06,0.113233822821232,0.512040003539843,-5383.73839559915
"7.5%",0.0470106176260174,0.00279857941277631,4.58628892345847e-06,0.117571404017404,0.512810983404656,-5383.18175876074
"10%",0.0470562789664655,0.00284224213904542,6.34091304183574e-06,0.121127707771249,0.513326466686902,-5382.79110226639
"12.5%",0.0470916630211621,0.00287613309235891,7.76092818451676e-06,0.124190600575956,0.513844084417689,-5382.45413183947
"15%",0.0471262843153782,0.00290532543957363,9.20551269346957e-06,0.126458738698985,0.514232326441232,-5382.17342060198
"17.5%",0.0471536325150811,0.00293090649922408,1.09843929484627e-05,0.129141281753819,0.514605991956941,-5381.93277189081
"20%",0.047179659714038,0.00295424608162797,1.23987376082645e-05,0.131428372366448,0.514946373642106,-5381.71793181249
"22.5%",0.0472042409637006,0.00297622172712422,1.48025087846699e-05,0.133507258927878,0.515280377257315,-5381.52626280583
"25%",0.0472276196422936,0.00299791726096392,1.63383054153654e-05,0.135676992922757,0.515536188592229,-5381.35781404677
"27.5%",0.0472463316432845,0.00301995143235601,1.8253572455179e-05,0.13757197094599,0.515854670664825,-5381.20344794158
"30%",0.0472617849957489,0.0030393976189032,2.04114015089346e-05,0.139402379472203,0.5161215506451,-5381.05270675722
"32.5%",0.0472825379354403,0.00305837956498956,2.27207929355024e-05,0.141126304906866,0.516355514631573,-5380.90955013106
"35%",0.047302135824698,0.00307813629676122,2.50396974452126e-05,0.143176307935258,0.516618646410978,-5380.78090917542
"37.5%",0.0473211431974287,0.00309806740712544,2.7532358737711e-05,0.14488690387933,0.516885017528634,-5380.65446281329
"40%",0.0473377787350283,0.00311648074632287,3.01590462260042e-05,0.1467086132084,0.517116863762494,-5380.54102488615
"42.5%",0.0473547867749222,0.00313231790564552,3.2509146493846e-05,0.148133716432701,0.517308362766077,-5380.43437443699
"45%",0.0473735853680156,0.00315247401739267,3.51712041360416e-05,0.149647892451668,0.51754335477489,-5380.31926042162
"47.5%",0.0473911930064176,0.00317096511548453,3.7751494580025e-05,0.151320829084079,0.517820234207811,-5380.21019332669
"50%",0.0474086367844103,0.00318799524867412,4.06881745704653e-05,0.153312404238887,0.518038519409169,-5380.10796211372
"52.5%",0.0474284874721382,0.00320441349272219,4.35171477098063e-05,0.154978313563157,0.518308213706809,-5380.00180962538
"55%",0.0474456000185752,0.00322150104020845,4.67838509900144e-05,0.156921868698367,0.518583978365676,-5379.8946068389
"57.5%",0.0474627235150377,0.00323814535540961,5.00345555724577e-05,0.158832893003165,0.518838773183935,-5379.80041343123
"60%",0.0474824111196844,0.00325804411030922,5.32700847156932e-05,0.16088120675038,0.519096752902571,-5379.70289666886
"62.5%",0.0475023529403471,0.00327385754032858,5.72120619360288e-05,0.16262078859944,0.519373214601111,-5379.61107768769
"65%",0.0475196485002121,0.0032918596076316,6.06745872286711e-05,0.164455024376712,0.519625259460057,-5379.52310210704
"67.5%",0.0475370875380015,0.00331236704817693,6.54119316879774e-05,0.166416619974034,0.519859300228746,-5379.43249813448
"70%",0.0475568020903768,0.0033302222097138,7.06904989326306e-05,0.168572845625988,0.520141711352125,-5379.34963566734
"72.5%",0.0475772387706204,0.00335163881208959,7.51607103492246e-05,0.170855634287069,0.520409481979635,-5379.25604912741
"75%",0.0475968253033864,0.00336907569804039,8.0501208399655e-05,0.173013539174213,0.52070382710671,-5379.16746282015
"77.5%",0.0476168499131813,0.00339396555834152,8.61329685948371e-05,0.175451023115954,0.520966399935847,-5379.06892432228
"80%",0.047639532974578,0.0034185044739586,9.32605538734835e-05,0.177650387026055,0.521293883655777,-5378.96565261982
"82.5%",0.0476625636595321,0.00344217939879004,0.000101313724386288,0.180446006783054,0.521712100362455,-5378.86612528334
"85%",0.0476852476203123,0.00346915233684021,0.000111103648447991,0.183573164144104,0.522098576186583,-5378.75808991849
"87.5%",0.0477225969328213,0.00350111802285086,0.000121767779867887,0.187207811112605,0.522568305365351,-5378.65494087509
"90%",0.0477515046219333,0.00353539651056384,0.000135010002656411,0.191616667878317,0.52312728150476,-5378.53694622421
"92.5%",0.0477920369260513,0.00358258089883066,0.000151242709601562,0.197148301053482,0.523631233431791,-5378.41316585856
"95%",0.0478500382434986,0.00363984431657663,0.000174842043019386,0.204802048318213,0.524465063238232,-5378.26478356699
"97.5%",0.0479496541989477,0.0037247870618126,0.000218067401101096,0.215417834408042,0.525733438969312,-5378.06784645318
"100%",0.0485057566301103,0.00443418343450542,0.000600403314277232,0.297273815658678,0.534201757535852,-5377.47458828459
