"","Position","C.T","G.A"
"1",1,0.047856256524206,0.0528769605208311
"2",2,0.0534547179073475,0.0579039409202607
"3",3,0.0576511802085899,0.0625789106788839
"4",4,0.062875455990557,0.0648255907582908
"5",5,0.067778111546128,0.0661920525351405
"6",6,0.07087380518042,0.0683470245450259
"7",7,0.0726281134632037,0.0710021787756279
"8",8,0.0729430605428026,0.0743831168713467
"9",9,0.0738515321544105,0.0765981225943477
"10",10,0.0752643123178655,0.0778346629047609
"11",11,0.0769535709231406,0.0783930220247114
"12",12,0.0790788281900637,0.0781770600772194
"13",-12,0.0775719897618371,0.0796590492046595
"14",-11,0.0783899595861762,0.0769785393894556
"15",-10,0.0791110011407527,0.0740361997458232
"16",-9,0.0790857866555704,0.0714159238877754
"17",-8,0.0776997419312726,0.0696652486084817
"18",-7,0.0749590188233808,0.0686870643849508
"19",-6,0.0721958958362881,0.0670342131236276
"20",-5,0.0691537625630704,0.064828697405352
"21",-4,0.0647867736592344,0.062943580544317
"22",-3,0.058975875757983,0.0612844205745366
"23",-2,0.0526254265002006,0.0587115165311784
"24",-1,0.0467592684844257,0.0539434087559056
