"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0498647849282687,0.0137783125699878,0.00592295556895829,0.671646526246508,0.516422549956512,-11865.5232369422
"Std.",0.000183202389751601,0.000911629920300395,0.00442660802341391,0.345805079959344,0.00240783149808394,1.78741686163885
"Acceptance ratio",0.21496,0.17676,0.23554,0.2267,0.22374,0.70194
"0%",0.0491451919030919,0.0112656402229466,3.40873095036956e-08,0.000317619441736472,0.508007906338026,-11877.5011875942
"2.5%",0.0495014969552393,0.0131312067021373,0.000150198248618216,0.0177186064940396,0.511881908299296,-11869.6979734136
"5%",0.0495594104387341,0.013193137278473,0.000328773945592066,0.0270343561307642,0.512538448114803,-11868.8554498255
"7.5%",0.0495991448740384,0.0132274464812128,0.000526250299623628,0.0393822709375672,0.512973908843896,-11868.3333504748
"10%",0.0496285017335044,0.0132519743657997,0.000702458561570856,0.0516978801304484,0.513332243695015,-11867.9489613253
"12.5%",0.0496563274209163,0.0132728288118533,0.000883463844658104,0.069475434693807,0.513637537795203,-11867.6502104642
"15%",0.0496756467378531,0.0132938512596679,0.00109038725734802,0.093064094122847,0.513912094553147,-11867.3873981814
"17.5%",0.0496957306554415,0.0133128855524532,0.00128224164405325,0.122451758095974,0.514168007568685,-11867.1548876373
"20%",0.0497138076743594,0.013327640195267,0.00149149220784126,0.155979185905622,0.514360287608762,-11866.9491850861
"22.5%",0.0497267053982207,0.0133422197716795,0.00169262793018656,0.203245497766239,0.514563709350631,-11866.7488976836
"25%",0.0497422913377223,0.0133551419931303,0.00191977950841185,0.318655619976866,0.514766458607215,-11866.5603565216
"27.5%",0.0497575502163532,0.0133706479633945,0.00214294568441754,0.635202845372324,0.514956220767705,-11866.3778111738
"30%",0.0497704047594784,0.0133847771340109,0.00238159191546857,0.765074127636969,0.515116855355513,-11866.2218866807
"32.5%",0.0497825360834443,0.0133980539311409,0.00262044202690634,0.795798387408462,0.515285820732112,-11866.0782043796
"35%",0.049795816450851,0.0134100084941056,0.00290865834970048,0.813119007488256,0.515459359058498,-11865.9326198669
"37.5%",0.0498069671856942,0.0134209799607868,0.00314467516745398,0.824938196399203,0.515626893597368,-11865.7930145887
"40%",0.0498195484766454,0.0134328235777461,0.00344780698312471,0.833774256890084,0.51578507761371,-11865.6743201133
"42.5%",0.0498320665531184,0.0134445664890715,0.00377873838981405,0.841444811059435,0.515952758711943,-11865.5479949495
"45%",0.0498442744595233,0.0134563747145925,0.00413386906146455,0.848930491671172,0.51610374600884,-11865.4414396404
"47.5%",0.0498550163639309,0.0134702393883924,0.00458326824574543,0.854895466203958,0.516245114014734,-11865.3334264043
"50%",0.0498674901268169,0.0134832365574015,0.00495290999272745,0.859597136425435,0.516383721564071,-11865.2275864473
"52.5%",0.0498777311920174,0.0134969356374125,0.00540516833493867,0.86412690825507,0.51652296299696,-11865.1174773203
"55%",0.0498887894232621,0.0135105154783363,0.00593003700922963,0.868340079469161,0.516679639440348,-11865.015256812
"57.5%",0.0498999293880109,0.0135257102181114,0.0065327804930629,0.873277168525072,0.516856104579235,-11864.9154734447
"60%",0.0499125649518767,0.0135392335068698,0.00712263005362669,0.878058741749695,0.516995781352302,-11864.8191304112
"62.5%",0.0499254786109858,0.0135561877769887,0.00771232964112954,0.882313477591946,0.517152860015967,-11864.715472335
"65%",0.0499377619698247,0.0135755415526888,0.00830894286775439,0.886422060263212,0.517308699890816,-11864.6156092152
"67.5%",0.049948543831264,0.0135938165477416,0.00878721436083884,0.889838344559827,0.517497114832026,-11864.5178927193
"70%",0.049961240506982,0.013613784967875,0.00921005923219378,0.893457775987084,0.517654274567467,-11864.4211849382
"72.5%",0.0499725447226725,0.0136385385764128,0.00966120522600489,0.896984182592082,0.517836010989087,-11864.3216674264
"75%",0.0499875656016343,0.0136799105495305,0.00993832015582584,0.901264705578306,0.518036976022479,-11864.2220451104
"77.5%",0.0500031507570031,0.0137262343812252,0.0102994188345369,0.906326086251071,0.518262148703598,-11864.1174741553
"80%",0.0500194156995949,0.0138077030542901,0.0105956676987734,0.910999149158432,0.518464786609044,-11864.0063657721
"82.5%",0.0500372932313606,0.0139558829043425,0.010878168388802,0.915429267036055,0.518689958059109,-11863.896320383
"85%",0.050053545645339,0.0141705600545883,0.0111518311810152,0.919487583831225,0.518948043559395,-11863.7644543565
"87.5%",0.0500759429207628,0.0144242037095775,0.0115036509488604,0.92482312478985,0.519220695870445,-11863.6306745945
"90%",0.0500993988603847,0.0148165823647028,0.011783580129621,0.931450110243993,0.519537425688197,-11863.4671581181
"92.5%",0.0501253702232909,0.0153599701837115,0.012249400986485,0.939311219453743,0.519953656550975,-11863.3012881573
"95%",0.0501581998184266,0.0159417336419794,0.0128098070026712,0.94979068855611,0.520415897007414,-11863.1124637566
"97.5%",0.0502229214863399,0.0168819297344036,0.0139109528529468,0.964444054952626,0.52114626352674,-11862.8889354442
"100%",0.0506861885495641,0.0189007695569038,0.051017242915302,0.999897294529883,0.527471093941429,-11862.2198378887
