"","Position","C.T","G.A"
"1",1,0.483645821166363,0.28976837279139
"2",2,0.47938631465948,0.29654295115856
"3",3,0.468481173823473,0.314001117526069
"4",4,0.459419771770112,0.327670437912425
"5",5,0.452371094181442,0.337809368744158
"6",6,0.446825252999152,0.34548344079229
"7",7,0.442706471513358,0.350999400832457
"8",8,0.435856973264808,0.359879915827606
"9",9,0.434270812172854,0.36184835781876
"10",10,0.436690075442294,0.358760651660085
"11",11,0.439207746539687,0.355497241288764
"12",12,0.441940443075642,0.351892215958219
"13",-12,0.382716737168958,0.416014640849654
"14",-11,0.37754893050253,0.420498692039105
"15",-10,0.372737788274928,0.424552233285486
"16",-9,0.367822076359714,0.428579479782415
"17",-8,0.362545777724315,0.43277933805596
"18",-7,0.358468771695084,0.435955648694724
"19",-6,0.358268324654819,0.436175468599525
"20",-5,0.354720403968671,0.438961487923843
"21",-4,0.347379461731074,0.444540259573141
"22",-3,0.333919218251538,0.454236624024916
"23",-2,0.317947089675369,0.465156234634282
"24",-1,0.319003562492787,0.465222287527325
