pos	3pG>A
1	0.00859029469195686
2	0.00874283756851021
3	0.00762624351384461
4	0.0087901444724079
5	0.00921872466587914
6	0.0129213658171849
7	0.0137669784135547
8	0.0138337223918118
9	0.0134267872337357
10	0.0124677940000592
11	0.011857035599439
12	0.0130448638504302
13	0.0128992452721899
14	0.0133396821274232
15	0.0132864624435038
16	0.0138193150046598
17	0.0143172905525847
18	0.0131772334293948
19	0.0130226574226288
20	0.0138249851227194
21	0.0134756040100614
22	0.0133522167307875
23	0.0136491281537758
24	0.0131768313408981
25	0.014463634187563
