"","Position","C.T","G.A"
"1",1,0.500109016440756,0.287880233434131
"2",2,0.478869729292494,0.286797025348867
"3",3,0.458714182409734,0.30608074650765
"4",4,0.443051237840039,0.324346914059723
"5",5,0.43318160249195,0.335990583369849
"6",6,0.42496286652034,0.345928354473225
"7",7,0.415246960975733,0.357549143444527
"8",8,0.40680434036454,0.367158463225973
"9",9,0.405725997216996,0.368306117184621
"10",10,0.408117407304469,0.365598526987153
"11",11,0.413118023631993,0.359830118030034
"12",12,0.420191968782388,0.351323736790024
"13",-12,0.36055163664222,0.411769644457171
"14",-11,0.367619634230925,0.405757027626153
"15",-10,0.371519616519918,0.402334449814954
"16",-9,0.372674650538809,0.401323984722818
"17",-8,0.372620874694343,0.401422936560449
"18",-7,0.368450304547069,0.405232126772871
"19",-6,0.362250073656191,0.41082481907129
"20",-5,0.354952815001938,0.417489319179968
"21",-4,0.344836235763664,0.42697210277888
"22",-3,0.329902978119105,0.441596228488054
"23",-2,0.31919988322885,0.458090861215182
"24",-1,0.331904283928384,0.47375563032522
