pos	5pC>T
1	0.00481878173632383
2	0.0136438345313769
3	0.00808864209167469
4	0.0122310731982688
5	0.0109016579604815
6	0.0137720868201198
7	0.0176974799897062
8	0.0122858899657424
9	0.0139492721211362
10	0.0155932288748576
11	0.0126942298427587
12	0.0138433135985092
13	0.0144572940332777
14	0.0166338958180484
15	0.0154912277485471
16	0.0174001658364296
17	0.0143129295746588
18	0.0151327607766966
19	0.0128636597081659
20	0.0133646970707674
21	0.0138940693770981
22	0.0177077788179721
23	0.0152440857757947
24	0.0184582802285251
25	0.0172464157601393
