"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0442491219056336,0.0053761165699723,1.70722274323706e-05,0.155454537422103,0.592216746567204,-13552.6811443047
"Std.",0.000137735317554165,0.000151311004883687,1.72928824594568e-05,0.0115156813202396,0.00225057913792244,1.71284617638079
"Acceptance ratio",0.28704,0.12686,0.18378,0.17382,0.19894,0.66382
"0%",0.0437524837834623,0.00478138989142181,1.44833900694738e-09,0.115136404114452,0.583941515859213,-13564.86870319
"2.5%",0.0439839755613281,0.00507543067751679,4.39577758054801e-07,0.133906324134024,0.587813598029303,-13556.8706246927
"5%",0.0440198469518832,0.00513104922844979,8.76822082818181e-07,0.137234779366308,0.588508429871407,-13555.9758036886
"7.5%",0.0440509406529621,0.00516694323167058,1.40600037638515e-06,0.13917170312133,0.589007150222112,-13555.4199965075
"10%",0.0440710378600568,0.00518894177877298,1.93256369743818e-06,0.14072273581185,0.589327596593267,-13554.9949542828
"12.5%",0.0440890200550456,0.00520876630490723,2.40925314884376e-06,0.142327847726568,0.589645726124364,-13554.6670092237
"15%",0.0441057442614342,0.00522639456575923,2.90839690688155e-06,0.143542393200856,0.589882026069385,-13554.4037008076
"17.5%",0.0441209223855931,0.00523983517186468,3.37503491530444e-06,0.144752862006305,0.590084185212672,-13554.1666999882
"20%",0.0441323951268768,0.00525435650825912,3.86061094882601e-06,0.145706893368846,0.590296034893799,-13553.9601860895
"22.5%",0.0441441053822467,0.00526530624529676,4.40138604405512e-06,0.146644890326323,0.590493600395783,-13553.7781594354
"25%",0.044155401839853,0.00527563015209881,4.94475102682687e-06,0.14752308639689,0.590682366759958,-13553.6099591387
"27.5%",0.0441648951329882,0.00528750207400828,5.45238230292102e-06,0.148347774191688,0.590848836198684,-13553.4444210768
"30%",0.0441740122034132,0.00529908155395783,5.94579649273221e-06,0.149195507497135,0.591046107359954,-13553.2963036006
"32.5%",0.0441848629249233,0.00530923360942613,6.7082702214428e-06,0.149948042622277,0.591181507893853,-13553.1608186416
"35%",0.044195462987962,0.00531918211182879,7.30667572310083e-06,0.150679221980506,0.591356064708303,-13553.0344251344
"37.5%",0.044205153341087,0.00532668095737647,7.86162320367735e-06,0.151400105472991,0.591503186057427,-13552.9026166882
"40%",0.0442142123820855,0.00533382446841683,8.60369886396426e-06,0.152212658660123,0.591645090373268,-13552.7854329736
"42.5%",0.0442230371694432,0.00534545994692851,9.26659282534865e-06,0.152984999610699,0.591817862244064,-13552.6713670761
"45%",0.0442324312106467,0.00535211371740954,1.02516225250257e-05,0.153863657523088,0.591954632495554,-13552.5621639943
"47.5%",0.0442412542912865,0.00536066290182816,1.0964096132701e-05,0.154477592735262,0.592085436217908,-13552.4616297552
"50%",0.0442499255514435,0.00536904420229201,1.16872035870894e-05,0.155183529189231,0.592225875842831,-13552.3565618514
"52.5%",0.0442578034601891,0.00537722680849002,1.23919589536885e-05,0.15591831224323,0.592372745412517,-13552.2607577108
"55%",0.0442666110764052,0.00538826112772033,1.33554470313662e-05,0.156591961431665,0.592506264985566,-13552.1639363861
"57.5%",0.0442756745849649,0.00539934207288541,1.43751061485591e-05,0.157376717916992,0.592656917468611,-13552.0624587844
"60%",0.0442849278510146,0.00540947887055085,1.55125574870128e-05,0.158093763466967,0.592795697098045,-13551.9636682962
"62.5%",0.0442935348773059,0.00541923844314841,1.65877360763846e-05,0.158875287453593,0.592923939066966,-13551.872373181
"65%",0.0443024991658968,0.00542757452783566,1.76894853595958e-05,0.159654847827355,0.593065933436011,-13551.7803122723
"67.5%",0.044312429911711,0.00543736912909888,1.90046273652264e-05,0.160496713884587,0.593213396917441,-13551.6923040987
"70%",0.0443217001000186,0.00544969667247175,2.0477138165733e-05,0.161219632740973,0.593364659426278,-13551.5992401143
"72.5%",0.0443332085760679,0.00546179150867679,2.19073352596739e-05,0.162127234713126,0.593525080472279,-13551.5078423278
"75%",0.0443433821994527,0.00547325624011539,2.36366954528279e-05,0.162979111247154,0.593700337600457,-13551.4092504603
"77.5%",0.0443548029633103,0.00548715716610732,2.5264174331548e-05,0.163715963048868,0.593912692645784,-13551.3188056986
"80%",0.0443663716580744,0.00550220459519212,2.73717857625196e-05,0.164780118630718,0.594126420745322,-13551.2230028602
"82.5%",0.0443773312891943,0.00551761953053812,2.9483133021307e-05,0.165882167172678,0.594305832937624,-13551.1228416775
"85%",0.0443906046810685,0.00553563847681291,3.23030233988094e-05,0.167306111522356,0.594564902663447,-13551.0171733532
"87.5%",0.0444088009745356,0.00555547242114618,3.53860370010656e-05,0.168637789658699,0.594783152920233,-13550.9113425513
"90%",0.0444281215440055,0.00557473661504404,3.93536028527209e-05,0.170011217541899,0.595043416650619,-13550.7908701722
"92.5%",0.0444496929319965,0.00559905702057308,4.41077450943769e-05,0.172165542324608,0.595432164976291,-13550.6559198453
"95%",0.044477535395122,0.00562972230016773,5.12647537289409e-05,0.174848200085629,0.595945231917567,-13550.5145447899
"97.5%",0.0445170375217067,0.00568393909454381,6.40597246251033e-05,0.179471363257941,0.596732611302515,-13550.3429935789
"100%",0.0447828072068815,0.00601479051900065,0.000161728919081102,0.211392491388287,0.600779224358675,-13549.7736308596
