pos	5pC>T
1	0.0325084910237749
2	0.041652283971925
3	0.0274473924977127
4	0.0230761306273823
5	0.0190348225282723
6	0.0252375923970433
7	0.0275445078938529
8	0.0246500940045958
9	0.0270833333333333
10	0.0234096157883687
11	0.0243645185107056
12	0.0245061793598817
13	0.0237358101135191
14	0.0220082530949106
15	0.0260525218841184
16	0.0242697594501718
17	0.0250601882249945
18	0.0218502011088162
19	0.020952988725803
20	0.0229056203605514
21	0.0239213544511196
22	0.0235509194537047
23	0.0238992356550759
24	0.0240369138319562
25	0.0266228256257955
