pos	3pG>A
1	0.0230450862979923
2	0.0321154945016501
3	0.019666381807487
4	0.0204098180259698
5	0.0194122501704403
6	0.0228738528398715
7	0.0240867488602214
8	0.0201799273687686
9	0.0217712218703869
10	0.0217358011726612
11	0.0218842894538356
12	0.021435847468887
13	0.0211878299998869
14	0.0217551540059413
15	0.0204750745398334
16	0.0208026824511582
17	0.0224746393994425
18	0.0212594887317615
19	0.020037704751476
20	0.0198676215277778
21	0.022214184877087
22	0.0226896848591948
23	0.0229041058978073
24	0.0280985873869614
25	0.0267830273848932
