pos	3pG>A
1	0.0353124357354799
2	0.0471401189642612
3	0.029347920465399
4	0.0289175257731959
5	0.0286054206788861
6	0.031893327242098
7	0.0316370797419944
8	0.0278872753525041
9	0.02715399124524
10	0.0283493464187044
11	0.0275952785765762
12	0.0283529764352475
13	0.0288805539526832
14	0.0268944199510756
15	0.0254092828765646
16	0.0249579010066991
17	0.0256504765271812
18	0.0254199990894329
19	0.0231661342772454
20	0.0232085891215184
21	0.0255824849219511
22	0.0251520476717361
23	0.0266152677500195
24	0.0315869330329433
25	0.032368937142395
