pos	3pG>A
1	0.0262250834351577
2	0.0351075309292579
3	0.0216185149981211
4	0.0210829952393237
5	0.019992558601017
6	0.0281127487469604
7	0.0272687073158748
8	0.0251292730293175
9	0.0254720090399736
10	0.0242821352861823
11	0.0228711690218389
12	0.0229414739552204
13	0.0241663544398651
14	0.0238072833349017
15	0.0236929061892152
16	0.0233107463256347
17	0.0264805234686887
18	0.0236318111362823
19	0.0234690223230273
20	0.0259690662593088
21	0.0236228025997074
22	0.0246644817109639
23	0.0248169243287225
24	0.0246682952531494
25	0.0258775608002875
