pos	3pG>A
1	0.0117343276439624
2	0.0149665686012303
3	0.0111843726891792
4	0.0111268619774088
5	0.00932060127016037
6	0.0122286106581996
7	0.0137340089079548
8	0.0105347103939194
9	0.0128509058923227
10	0.0129533944878735
11	0.0139964852808136
12	0.0159406599540565
13	0.0143848986291646
14	0.0136255734982595
15	0.0140920251948329
16	0.0158532626339141
17	0.0138113976915235
18	0.0177619893428064
19	0.0142904862314453
20	0.0160916433642761
21	0.0185367970063452
22	0.0164588305155009
23	0.0160338527447604
24	0.0152157560008206
25	0.0164803179637473
