pos	5pC>T
1	0.0204582960658092
2	0.0334615856903115
3	0.0169747872117906
4	0.0182896512536402
5	0.0165238435293184
6	0.0231160602860708
7	0.0237628119327454
8	0.0206135746304721
9	0.021308709935186
10	0.0211612483510129
11	0.0197054411564162
12	0.019381974248927
13	0.0191553813257306
14	0.0208116725583974
15	0.0191328800768875
16	0.019248142480503
17	0.0193621659247861
18	0.0197161460238496
19	0.0194136645076102
20	0.0188643652141105
21	0.0197160737691299
22	0.0203678070001977
23	0.0222265932336743
24	0.0259697687124385
25	0.0234744186839995
