pos	5pC>T
1	0.00550564467610732
2	0.0130898435623589
3	0.00833154522882629
4	0.0118302331516762
5	0.0103434662455586
6	0.0132636071191866
7	0.0180251329818123
8	0.0127807712845265
9	0.0138412911997421
10	0.0151201418165026
11	0.011994013338943
12	0.013226439115026
13	0.0138074926476348
14	0.0163171140939597
15	0.0155814087261641
16	0.0158546074881034
17	0.0156187573062638
18	0.014716297516718
19	0.0137556211153439
20	0.0126052171014251
21	0.0134407813691559
22	0.0164074616265418
23	0.0157429203224196
24	0.0188370188370188
25	0.0184086213014046
