"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0592491816229661,0.0170860018874332,0.0281072618759806,0.220959575933786,0.47758065985014,-2823.69031590413
"Std.",0.000521697822027042,0.00846385828514605,0.0764843181571135,0.352685868321989,0.00532311814533804,1.93700672605823
"Acceptance ratio",0.295,0.31152,0.06476,0.07948,0.24758,0.6913
"0%",0.0571162896162725,4.41000963984453e-06,2.77422828849211e-05,0.000162587145777681,0.456484632875875,-2837.27001715972
"2.5%",0.0582217489045111,0.00182228935107018,0.000357668262314,0.000753481900802083,0.467163001650507,-2828.06982191521
"5%",0.0583976971249516,0.00299325904690844,0.000671980486557036,0.00155619149929469,0.468795699689608,-2827.1739257808
"7.5%",0.0585042416204284,0.00362703350015182,0.000916913410798752,0.00178970066325438,0.46994934130554,-2826.57163037027
"10%",0.0585937921543698,0.00415403927404602,0.00133868804312353,0.00228355943552606,0.470720913345558,-2826.15400338126
"12.5%",0.058659376700761,0.00465234983730892,0.00161341323773103,0.00308801466750873,0.471409090946887,-2825.83211929436
"15%",0.0587171032766441,0.00522181723795826,0.00181461222215861,0.00381263024012824,0.472048193278669,-2825.58419624553
"17.5%",0.0587655024703109,0.00586974303415182,0.00216423279554764,0.0043735897558798,0.472664343649307,-2825.36746406815
"20%",0.0588086715354235,0.00655800799908435,0.00229059396370434,0.00522330329731698,0.473160810261955,-2825.1653751578
"22.5%",0.0588532144380558,0.00775168070547527,0.00265837946204541,0.00581533719234089,0.473615128935672,-2824.98884103776
"25%",0.0588923336581571,0.010755302829762,0.0029574287827072,0.00755342705505909,0.474018117935043,-2824.81304532731
"27.5%",0.0589333633151567,0.0147921533138206,0.00307752152994858,0.00828500598727041,0.474405243390639,-2824.64947604836
"30%",0.0589718933825005,0.0150317689732241,0.00332538861312866,0.00943325125662571,0.474839316450534,-2824.50451749753
"32.5%",0.0590098209399436,0.0151652362957821,0.00371372175357406,0.0109244512787263,0.47522826215193,-2824.36292865036
"35%",0.0590450396238318,0.0152754734172321,0.0041637418392191,0.0130310778543384,0.475575456160788,-2824.22705202055
"37.5%",0.0590791880511843,0.0153712519697342,0.00482101895808211,0.0152990173170948,0.475898658305323,-2824.10940996334
"40%",0.0591158556445925,0.0154853334943385,0.00559700529084896,0.0176250336802716,0.476254714450408,-2823.98531292545
"42.5%",0.0591542598264431,0.0155975315433838,0.00761228841829013,0.0191590562869641,0.476584465125547,-2823.87366502527
"45%",0.0591879791913224,0.0157089489198418,0.00847278256839617,0.0208424189536857,0.47684336147498,-2823.7660845654
"47.5%",0.0592188855746253,0.0158306221547874,0.0102146991269774,0.0217061797434212,0.477164063279522,-2823.65683454677
"50%",0.0592544498066211,0.016001272115986,0.0121892067191918,0.023288214312526,0.477548003180299,-2823.55168873388
"52.5%",0.0592858342984029,0.0164581273043229,0.0145967820122634,0.0260394141688227,0.477876194943715,-2823.44274057701
"55%",0.0593155616843319,0.0178634562223456,0.0172658087264903,0.0275190815101421,0.478201858703543,-2823.33039291168
"57.5%",0.0593454150204199,0.0193616794508123,0.0195850918361785,0.0313950295232323,0.478498613881776,-2823.20797757851
"60%",0.0593778991312554,0.0211370918050911,0.0215102572411916,0.0356770139797061,0.478863890693006,-2823.0925259003
"62.5%",0.0594134917335183,0.0223901907576141,0.0234468445119778,0.0376970528209817,0.479192859357266,-2822.9740440281
"65%",0.0594468709747142,0.023121551750916,0.0248690976983224,0.0419271560878122,0.479591111739719,-2822.85170188036
"67.5%",0.0594826774457021,0.0237504048114089,0.0254387902749972,0.0521396009496958,0.479942274927648,-2822.71126075343
"70%",0.0595149558835399,0.02413183337242,0.026057893569963,0.069461382738688,0.480276520797942,-2822.54657166875
"72.5%",0.0595522708205164,0.0244965757110477,0.0264681956693533,0.127162971873342,0.480636367459187,-2822.38553531942
"75%",0.0595936550632855,0.0249079852482495,0.0270068405753604,0.285493986189418,0.481001092423397,-2822.22063508469
"77.5%",0.0596361727767711,0.025303346002536,0.0272514488136824,0.532918106157544,0.481454790465304,-2822.05690961565
"80%",0.0596779900905038,0.0256694960867058,0.0276477882333781,0.640058066857637,0.481941749138075,-2821.88633522569
"82.5%",0.059723245310813,0.0260843273374862,0.0285089221642348,0.725743351133014,0.482475644384889,-2821.72657363798
"85%",0.0597796978821519,0.0264899813309578,0.0290727269347896,0.795072546099855,0.483065506444327,-2821.57047264584
"87.5%",0.0598462467802304,0.026920821570742,0.0304296794356997,0.862208328218149,0.483708257820887,-2821.43466569734
"90%",0.0599169062875986,0.0273082642952877,0.0318857982966247,0.912465709472794,0.484426115420285,-2821.28827380494
"92.5%",0.0600109344367045,0.0276623596413793,0.0419223313737274,0.959865568402823,0.485349359559313,-2821.13055439725
"95%",0.0601156119460561,0.0281506877649215,0.076276884503491,0.984558487095797,0.486585537561745,-2820.97059652358
"97.5%",0.0602875613464483,0.0288143503216758,0.208510390533428,0.994596541521139,0.488270383334577,-2820.78318578061
"100%",0.0612299498186848,0.0317774287394111,0.993983579574106,0.99985511579096,0.499373798121466,-2820.35032198106
