"","Position","C.T","G.A"
"1",1,0.0373172004992007,0.0455494831183913
"2",2,0.0435245570688188,0.0481641862601642
"3",3,0.0476273635125175,0.0513394047707344
"4",4,0.0514846395635067,0.0535390716424327
"5",5,0.054973195116504,0.0550995821242516
"6",6,0.0574213218243506,0.0568593151658713
"7",7,0.0591004195993285,0.0586967182926598
"8",8,0.0600571853178127,0.0606819211705038
"9",9,0.0612099973324615,0.0620060862425257
"10",10,0.0625367266571183,0.0627697671442799
"11",11,0.0640630884031015,0.0630108299757422
"12",12,0.0659086687202035,0.0626611629936509
"13",-12,0.0618794753164875,0.0666225780771956
"14",-11,0.0639668939436558,0.0631057571591087
"15",-10,0.0656323159618762,0.0597023951661165
"16",-9,0.0663637736222494,0.056882744655388
"17",-8,0.0653448195629762,0.0554220752182201
"18",-7,0.0621866252373311,0.0556345410053591
"19",-6,0.0578950994439342,0.0563917079887317
"20",-5,0.0540408179095471,0.0560156893992857
"21",-4,0.0500300130059881,0.0549608407342452
"22",-3,0.0456607264556508,0.053252793810542
"23",-2,0.0417508848646965,0.0498872148605475
"24",-1,0.0386815155187273,0.044225435500063
