"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0499298134479415,0.00372648607292746,3.79172352876735e-05,0.150914072584744,0.489494842741199,-5390.75740697928
"Std.",0.000221895523341848,0.000222827811954924,3.75626122058172e-05,0.0200946665569597,0.0027572397990397,1.73821370517467
"Acceptance ratio",0.25092,0.19464,0.10558,0.16686,0.25574,0.66442
"0%",0.0490555368970248,0.00290705928060338,4.38212264466541e-09,0.081833724223326,0.478671271533438,-5405.36784627941
"2.5%",0.0494939585595892,0.00329786605857827,1.01625449513385e-06,0.114421784066478,0.484065354055971,-5394.99095089888
"5%",0.0495667596994671,0.00336045719422893,2.06525014130753e-06,0.119428287928002,0.484958186466046,-5394.04188105185
"7.5%",0.0496094758837837,0.00340161685436914,2.83267825298233e-06,0.1233233801122,0.485487918158159,-5393.47316941537
"10%",0.0496432964840986,0.00344097571435608,3.7311493879142e-06,0.125932674411031,0.485970824939757,-5393.07253105802
"12.5%",0.0496721142445038,0.0034733642859855,4.89718564836126e-06,0.128282189615853,0.486330465813359,-5392.73888470073
"15%",0.0496995369878855,0.00349831647330419,6.12507539859329e-06,0.130657179973229,0.486646198770418,-5392.45656951994
"17.5%",0.0497238748922149,0.00351881346493279,7.46277146674472e-06,0.132229093161368,0.486921884428684,-5392.21812202495
"20%",0.0497442489696473,0.00353855480703529,8.64207113120737e-06,0.133947576420337,0.487195191845315,-5392.02585455732
"22.5%",0.0497631228732675,0.00355658529243246,9.77210724878037e-06,0.135655845575501,0.487398471086907,-5391.84801620661
"25%",0.0497825760051381,0.00357598956813262,1.11937605681905e-05,0.13692666850554,0.487612970643269,-5391.66745796329
"27.5%",0.0498000566663574,0.00359428132938046,1.23837003919002e-05,0.138208098887758,0.487833611971475,-5391.5089168239
"30%",0.0498155014312991,0.00361077518269267,1.40189613629324e-05,0.13983894635581,0.488052857836187,-5391.36124588302
"32.5%",0.0498313996098642,0.0036249923411906,1.52837419440379e-05,0.141310988239209,0.488253464061169,-5391.21912754987
"35%",0.0498460509898835,0.00363934673903861,1.67240631116191e-05,0.142708998566802,0.48842383987392,-5391.09067515651
"37.5%",0.0498606934718969,0.00365256143238824,1.83709817871503e-05,0.14399578355417,0.488612429279496,-5390.97327659131
"40%",0.0498736121670388,0.0036658831932451,2.00856096397434e-05,0.145064937350305,0.488793349207652,-5390.84490700311
"42.5%",0.0498877134379614,0.00367951790508947,2.15383949181047e-05,0.146277258052836,0.48897967314879,-5390.7250464034
"45%",0.0499017208723778,0.00369590652668242,2.36498864882871e-05,0.147462448645745,0.489147694639942,-5390.60872737941
"47.5%",0.0499143078148237,0.00370952901994483,2.54342294433999e-05,0.148794957204707,0.489301847232363,-5390.50345198016
"50%",0.0499299434633989,0.00372379305981925,2.69001165116925e-05,0.149952199496799,0.489463735077337,-5390.40337694164
"52.5%",0.0499437543297156,0.00373818431501577,2.8487540258099e-05,0.151180676127699,0.489656465667314,-5390.30779879667
"55%",0.0499566821161353,0.00375353464835931,3.0517819308843e-05,0.152405092026565,0.489821659147504,-5390.21467031933
"57.5%",0.0499704276394244,0.00376728051375916,3.25057509073007e-05,0.153577776278886,0.489987389029587,-5390.12097879299
"60%",0.0499862050869723,0.00378070586629423,3.4708016496385e-05,0.154843224514689,0.490160643804595,-5390.02952089104
"62.5%",0.0499992185121566,0.00379352737341468,3.74384638709055e-05,0.156324088443119,0.490343866847899,-5389.94549120954
"65%",0.0500131523552438,0.00380873521376507,3.96441114165686e-05,0.157703683273277,0.490540137722756,-5389.85188662944
"67.5%",0.0500268339659992,0.00382781768020829,4.25458003502584e-05,0.158739102596973,0.490750622605608,-5389.76725560216
"70%",0.0500447527117204,0.00384395739769271,4.56261700323646e-05,0.160195458251038,0.490950446456458,-5389.67989268539
"72.5%",0.0500596617969122,0.00385882089750661,4.90307211375817e-05,0.161868546711961,0.491137086497868,-5389.58746681695
"75%",0.0500761248424459,0.0038744458052012,5.32037736702873e-05,0.16344535823576,0.491347262031155,-5389.49571975854
"77.5%",0.0500954691636812,0.00389265854609522,5.69907860069937e-05,0.165324455238797,0.49157833758588,-5389.40249371144
"80%",0.0501151016335471,0.00391246086319367,6.12200938250612e-05,0.167230572500281,0.491821632155397,-5389.30867434652
"82.5%",0.0501384959941743,0.00393459571767257,6.51868403038198e-05,0.169276281626863,0.492093252982455,-5389.20367598523
"85%",0.0501616966655621,0.00395974574709751,7.15450271220576e-05,0.171573651592204,0.492339434601124,-5389.10332262616
"87.5%",0.0501869363331258,0.00398597187320913,7.78437128492371e-05,0.174142941828096,0.492664569643525,-5389.00188754117
"90%",0.0502164199350354,0.00401476828643277,8.56628404749225e-05,0.177125452658863,0.493032341894566,-5388.88668226854
"92.5%",0.0502482274207119,0.00404928187716638,9.67303994784575e-05,0.180821867831188,0.493447219575182,-5388.75958731541
"95%",0.0502910458564781,0.00409587972664551,0.000112390664336119,0.185977841246277,0.494047027788992,-5388.60800585191
"97.5%",0.0503679683382126,0.00417083138122321,0.000136958984233668,0.193497971747644,0.494890577363577,-5388.4120092968
"100%",0.0507908367883522,0.00462182945307949,0.000456350508530394,0.258723644823184,0.500275811061612,-5387.84013343351
