pos	5pC>T
1	0.00493302700593871
2	0.0183904779945697
3	0.00759822491611646
4	0.0120203230203643
5	0.0104056193418484
6	0.0149447591624675
7	0.0153089198626382
8	0.0127352337160792
9	0.0147818137336956
10	0.0164960182025028
11	0.0124657639439937
12	0.0136416818102611
13	0.0135172486410361
14	0.0155267879038191
15	0.0150514235382503
16	0.0151225659579658
17	0.0142331221174506
18	0.0152913586680747
19	0.0131545560170408
20	0.0124441485616254
21	0.013160227474191
22	0.0174436533794564
23	0.0153702165803245
24	0.0172018820559953
25	0.0162397933353238
