pos	3pG>A
1	0.0102381858949951
2	0.0126966079211673
3	0.0105271616843459
4	0.00990371389270977
5	0.0104806473627766
6	0.0124205935337063
7	0.0124982832028568
8	0.0126848082279837
9	0.012449997752708
10	0.0118444075552963
11	0.013725152740728
12	0.0154392191659272
13	0.0155661447696846
14	0.0139262262571063
15	0.0129073021030779
16	0.0162375527047636
17	0.0142163198003476
18	0.0149133051837211
19	0.0148315191465371
20	0.0156928067330031
21	0.0164766654791592
22	0.0160285766623924
23	0.0172474636082929
24	0.0145062736135081
25	0.0143435561681599
