Sample	Passed Filter	Low Quality	Too Many N	Too short
GmA01001_CKDL210018111-1a-5UDI301-AK533_HH72GDSX2_L1_fastp	5371940.0	185312.0	976.0	753280.0
GmA01002_CKDL210018111-1a-5UDI301-AK8488_HH72GDSX2_L1_fastp	4715560.0	121920.0	824.0	520058.0
GmA01003_CKDL210018111-1a-5UDI301-AK4236_HH72GDSX2_L1_fastp	5893010.0	211108.0	972.0	1175142.0
GmA01004_CKDL210018111-1a-AK7078-AK4234_HH72GDSX2_L1_fastp	20960636.0	229738.0	3442.0	696492.0
GmA01010_CKDL210018111-1a-AK7758-AK4234_HH72GDSX2_L1_fastp	11630710.0	189040.0	1866.0	779576.0
GmA01011_CKDL210018111-1a-AK7758-GD06_HH72GDSX2_L1_fastp	18757540.0	381956.0	2850.0	1422708.0
GmA01013_CKDL210018111-1a-5UDI301-AK7557_HH72GDSX2_L1_fastp	11222456.0	242666.0	1670.0	832844.0
GmA01014_CKDL210018111-1a-5UDI301-GC06_HH72GDSX2_L1_fastp	18445254.0	230758.0	2588.0	822164.0
GmA01015_CKDL210018111-1a-5UDI301-AK10343_HH72GDSX2_L1_fastp	8105984.0	110970.0	1198.0	412832.0
GmA01016_CKDL210018111-1a-5UDI301-AK4234_HH72GDSX2_L1_fastp	35428372.0	379072.0	5190.0	910666.0
GmA01017_CKDL210018111-1a-AK7078-GD06_HH72GDSX2_L1_fastp	20746118.0	381102.0	3608.0	1838434.0
GmA01018_CKDL210018111-1a-AK7758-AK7557_HH72GDSX2_L1_fastp	10339302.0	181594.0	1666.0	622256.0
GmA01026_CKDL210018111-1a-AK7078-AK8488_HH72GDSX2_L1_fastp	15977136.0	163326.0	2676.0	255640.0
GmA01027_CKDL210018111-1a-AK7078-AK4236_HH72GDSX2_L1_fastp	12737528.0	265464.0	2270.0	1423226.0
GmA01028_CKDL210018111-1a-5UDI301-GD06_HH72GDSX2_L1_fastp	13619594.0	230286.0	2176.0	905488.0
GmA01029_CKDL210018111-1a-AK7758-AK533_HH72GDSX2_L1_fastp	10452392.0	252660.0	1664.0	770564.0
GmA01030_CKDL210018111-1a-AK7758-AK8488_HH72GDSX2_L1_fastp	9536296.0	138566.0	1580.0	477284.0
GmA01031_CKDL210018111-1a-AK7758-AK4236_HH72GDSX2_L1_fastp	51254828.0	646138.0	7434.0	1196460.0
GmA01032_CKDL210018111-1a-AK7758-AK10343_HH72GDSX2_L1_fastp	16209244.0	249516.0	2486.0	892694.0
GmA01033_CKDL210018111-1a-AK9143-AK4234_HH72GDSX2_L1_fastp	34175244.0	359666.0	5622.0	786898.0
GmA01035_CKDL210018111-1a-AK7078-AK533_HH72GDSX2_L1_fastp	26718282.0	450592.0	3992.0	1299756.0
GmA01037_CKDL210018111-1a-AK7078-AK7557_HH72GDSX2_L1_fastp	49703804.0	732060.0	7544.0	2518878.0
GmA01039_CKDL210018111-1a-AK7078-AK10343_HH72GDSX2_L1_fastp	28133524.0	315982.0	4732.0	724620.0
GmA01041_CKDL210018111-1a-AK9143-AK533_HH72GDSX2_L1_fastp	29683774.0	474808.0	4762.0	1387736.0
GmA01042_CKDL210018111-1a-AK7758-GC06_HH72GDSX2_L1_fastp	12627082.0	247250.0	1796.0	1162174.0
GmA01055_CKDL210018111-1a-AK9143-AK4236_HH72GDSX2_L1_fastp	34036178.0	390904.0	5276.0	1187174.0
GmA01060_CKDL210018111-1a-5UDI225-AK533_HH72GDSX2_L1_fastp	56025134.0	563788.0	8138.0	879232.0
GmA01065_CKDL210018111-1a-AK9143-AK7557_HH72GDSX2_L1_fastp	101042900.0	961100.0	14868.0	1599772.0
GmA01074_CKDL210018111-1a-AK7078-GC06_HH72GDSX2_L1_fastp	24419174.0	386696.0	3806.0	2043952.0
GmA01078_CKDL210018111-1a-AK9143-GC06_HH72GDSX2_L1_fastp	81197354.0	979890.0	13220.0	2113070.0
GmA01079_CKDL210018111-1a-AK9143-AK10343_HH72GDSX2_L1_fastp	57411944.0	655438.0	9308.0	1044020.0
GmA01083_CKDL210018111-1a-AK9143-GD06_HH72GDSX2_L1_fastp	50544636.0	650534.0	8092.0	1591606.0
GmA01089_CKDL210018111-1a-AK9143-AK8488_HH72GDSX2_L1_fastp	41093488.0	406394.0	6504.0	597066.0
GmA02001_CKDL210018111-1a-AK3911-AK4234_HH72GDSX2_L1_fastp	6961788.0	64898.0	1288.0	195876.0
GmA02002_CKDL210018111-1a-5UDI225-AK7557_HH72GDSX2_L1_fastp	9676824.0	128688.0	1462.0	291450.0
GmA02004_CKDL210018111-1a-5UDI225-AK4236_HH72GDSX2_L1_fastp	1434022.0	39892.0	224.0	268484.0
GmA02005_CKDL210018111-1a-5UDI225-AK10343_HH72GDSX2_L1_fastp	4072242.0	44802.0	606.0	141952.0
GmA02006_CKDL210018111-1a-5UDI225-AK4234_HH72GDSX2_L1_fastp	3839728.0	38000.0	572.0	137314.0
GmA02007_CKDL210018111-1a-AK9144-AK8488_HH72GDSX2_L1_fastp	9936654.0	106702.0	1684.0	248012.0
GmA02008_CKDL210018111-1a-AK9144-AK10343_HH72GDSX2_L1_fastp	11747290.0	137004.0	2180.0	372082.0
GmA02017_CKDL210018111-1a-5UDI225-AK8488_HH72GDSX2_L1_fastp	3345202.0	39406.0	518.0	131790.0
GmA02018_CKDL210018111-1a-AK9144-AK7557_HH72GDSX2_L1_fastp	45403744.0	658666.0	6308.0	2271304.0
GmA02019_CKDL210018111-1a-AK9144-GC06_HH72GDSX2_L1_fastp	19356266.0	211188.0	2772.0	481292.0
GmA02020_CKDL210018111-1a-AK9144-AK4234_HH72GDSX2_L1_fastp	10636436.0	133796.0	1760.0	505622.0
GmA02021_CKDL210018111-1a-AK9144-GD06_HH72GDSX2_L1_fastp	18577706.0	275104.0	3114.0	1060454.0
GmA02022_CKDL210018111-1a-5UDI225-GC06_HH72GDSX2_L1_fastp	17411928.0	185504.0	2210.0	671066.0
GmA02023_CKDL210018111-1a-AK3911-GC06_HH72GDSX2_L1_fastp	10669828.0	126036.0	1736.0	411648.0
GmA02028_CKDL210018111-1a-5UDI245-AK533_HH72GDSX2_L1_fastp	7715610.0	118006.0	1180.0	450916.0
GmA02030_CKDL210018111-1a-5UDI225-GD06_HH72GDSX2_L1_fastp	2753794.0	45556.0	484.0	214906.0
GmA02033_CKDL210018111-1a-AK3911-AK533_HH72GDSX2_L1_fastp	15401910.0	262898.0	2424.0	837574.0
GmA02034_CKDL210018111-1a-5UDI245-AK7557_HH72GDSX2_L1_fastp	9480886.0	105368.0	1514.0	346734.0
GmA02035_CKDL210018111-1a-5UDI245-AK8488_HH72GDSX2_L1_fastp	18330302.0	154464.0	2582.0	363224.0
