pos	5pC>T
1	0.00455465323767955
2	0.0139282757648882
3	0.00814390259698206
4	0.0119143255676391
5	0.0105925972139286
6	0.0142392909896603
7	0.0156606837751425
8	0.0116920562126819
9	0.0138649761125617
10	0.0154827187201288
11	0.0110043648804082
12	0.0135679157418288
13	0.0129982635761132
14	0.016291628823709
15	0.0144729287643679
16	0.0151824724489105
17	0.0133777668196388
18	0.0134920698848945
19	0.0128892655852703
20	0.0125122241511322
21	0.0140112312250296
22	0.0161362776621903
23	0.0139153072253451
24	0.0172270097503742
25	0.0161908656914944
