"","Position","C.T","G.A"
"1",1,0.323538392346289,0.203766458214297
"2",2,0.343094449867405,0.224216095175878
"3",3,0.351851196020804,0.250694593171631
"4",4,0.359246783730408,0.272027269623067
"5",5,0.366957362252983,0.287606675193687
"6",6,0.371762462363654,0.302550162987544
"7",7,0.372810972620499,0.318479140127517
"8",8,0.372194451314767,0.333311866681724
"9",9,0.376499155972476,0.340324193567268
"10",10,0.38290829433678,0.343202719961944
"11",11,0.390402817944368,0.343297765715608
"12",12,0.399048054760982,0.340629910967182
"13",-12,0.348206695483862,0.391883556256999
"14",-11,0.351221664183532,0.38283865219061
"15",-10,0.351622191336959,0.37482185696988
"16",-9,0.348477246108626,0.368618232931587
"17",-8,0.341925840637464,0.363908664033407
"18",-7,0.329865557451686,0.362216269787015
"19",-6,0.315812802862191,0.35978721096323
"20",-5,0.299823785002529,0.356033141288029
"21",-4,0.279694018057265,0.352088052157574
"22",-3,0.254220960553595,0.347885067668819
"23",-2,0.228409431867836,0.338554679493285
"24",-1,0.208767356271223,0.318373914530975
