"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0496417111185372,0.0270988483089446,0.00606326097191279,0.0552112741331302,0.563102501311577,-10841.5639186641
"Std.",0.000182195750628877,0.00314243770603728,0.00296958671652792,0.0248933549589498,0.00258110442773382,1.63313673026196
"Acceptance ratio",0.20822,0.2521,0.19842,0.12664,0.22918,0.68022
"0%",0.0489278336925772,0.0206690868042964,2.06725144328077e-06,0.0176398248753926,0.552746082009511,-10859.6796950912
"2.5%",0.0492858082403127,0.0222217306612565,0.00037660345132894,0.0245218482081895,0.558014946879399,-10845.6248527648
"5%",0.0493430449395038,0.022667001423595,0.000769936413540601,0.0265309070921925,0.558871146082077,-10844.6661029073
"7.5%",0.0493839840982931,0.0230102257589632,0.00111416318418414,0.0279799205751055,0.559429868657146,-10844.1460767956
"10%",0.0494115211384197,0.0232856945890682,0.00148631174199556,0.0290333242547117,0.559811425674629,-10843.726728259
"12.5%",0.0494342664030225,0.0235113068554603,0.00193261194835614,0.0300025683586068,0.560154805358189,-10843.4216565473
"15%",0.0494576009893687,0.0237065485661229,0.00236578784101874,0.031109470113222,0.560427783874754,-10843.1502971667
"17.5%",0.0494757036971677,0.0239042607097807,0.00275163639065189,0.0324345846530535,0.560706146346472,-10842.9052080964
"20%",0.0494908630197297,0.0241082719132813,0.00313111693431924,0.0334649986923544,0.560945295230934,-10842.6956377648
"22.5%",0.0495078241706564,0.0243301155884068,0.00346451075807635,0.0346624789469811,0.561183495798781,-10842.5217642732
"25%",0.0495202629821906,0.0245077710509479,0.00381314544333614,0.0358702648149497,0.561358706084521,-10842.3478268578
"27.5%",0.0495319913715369,0.0247285340025485,0.00414767641688172,0.0371301113548426,0.561545616099268,-10842.1972323198
"30%",0.0495458297883012,0.0249128548006904,0.00444200920090576,0.0385125030896603,0.561726351441285,-10842.0576900778
"32.5%",0.0495576752471062,0.025106791133733,0.00474437434285832,0.0398285797834254,0.561911152991994,-10841.9248656071
"35%",0.0495696239071407,0.0253089170734927,0.0050062915622696,0.0411728126259235,0.562085356913318,-10841.8073810715
"37.5%",0.0495827242506828,0.0255289290701426,0.00527217735571537,0.0424934736506374,0.562270602426341,-10841.6892188867
"40%",0.0495946288327402,0.025755401053169,0.0055103922473118,0.0438940465869098,0.562434389015318,-10841.5866843153
"42.5%",0.0496053924718139,0.0259988870722301,0.00573534393435348,0.0454376648853311,0.562616089057053,-10841.4743334813
"45%",0.049618441405721,0.0262506531724813,0.00596902495187836,0.046927498234972,0.562769616915567,-10841.378309417
"47.5%",0.0496285286098394,0.0265051398166969,0.00619531184201932,0.0482859434363539,0.56293751918448,-10841.2872724689
"50%",0.0496383754803564,0.0267581915517605,0.00645216560511817,0.0496736268675314,0.56312403068577,-10841.1966958858
"52.5%",0.0496481152174764,0.0269708248434349,0.00671436814836422,0.0510136889478369,0.563276956071118,-10841.1196735215
"55%",0.0496595059803785,0.0271750415236435,0.00692516390069571,0.0526503056539355,0.563426601127854,-10841.0309772883
"57.5%",0.0496714129164656,0.0273918040033257,0.00715297656975081,0.0542525255229296,0.563608075201335,-10840.9451068806
"60%",0.0496827289810031,0.0276182460807214,0.00735965633257732,0.0561512597251345,0.563777343985573,-10840.8590266528
"62.5%",0.0496962579453599,0.0278917385967024,0.00755768509377219,0.0581597532562929,0.563960204197553,-10840.7784332651
"65%",0.0497064215836123,0.0281113548718597,0.00773915964675423,0.0603065798244986,0.564133264571148,-10840.705857749
"67.5%",0.0497197074377314,0.0283987975211793,0.00793975631832932,0.06192740656996,0.564303194697428,-10840.6237106263
"70%",0.0497340214593747,0.0287510230748022,0.00810450523367408,0.0644241190079035,0.564476789769214,-10840.5392343914
"72.5%",0.0497479730718386,0.0290885995763486,0.00828004214656271,0.0667201201678779,0.564680918285541,-10840.4632356748
"75%",0.0497623090471392,0.0295017251356661,0.00846413130052406,0.0690697285723579,0.564845321789238,-10840.3842557186
"77.5%",0.0497775553783222,0.0299832474724481,0.00863162902614952,0.0716043446336073,0.565038483629311,-10840.3006475465
"80%",0.0497943564223568,0.0303273443650889,0.0087885321740709,0.0747406825874424,0.565270640215418,-10840.2163687692
"82.5%",0.0498117037987157,0.0306430419302304,0.00894851728298009,0.0773637496943273,0.565546588355057,-10840.1345550286
"85%",0.0498286605755611,0.0310537803923865,0.00916268667843735,0.080987237659843,0.565798551105176,-10840.0520505005
"87.5%",0.049852316312746,0.0314650193796713,0.00938263332591728,0.0843522672629812,0.566105838815404,-10839.9675171952
"90%",0.0498760253740199,0.0319092680075627,0.00964677599295254,0.08876139458341,0.566420028136788,-10839.8763295487
"92.5%",0.049905063181288,0.0322630573309559,0.00998145148260741,0.0943245734193186,0.566828568882159,-10839.7776190864
"95%",0.0499481888527619,0.0326102191186123,0.0103104382462095,0.101597409532672,0.567299827143507,-10839.6752109874
"97.5%",0.0500056039791877,0.033099949264229,0.0108056587514966,0.114671814559525,0.568067423470296,-10839.5283650665
"100%",0.0503922352348153,0.0349863053078551,0.0132665991969748,0.228290811418329,0.5722604010143,-10839.2136965741
