pos	5pC>T
1	0.0342094324849446
2	0.0523168620491776
3	0.0310360875281828
4	0.0318928952708876
5	0.0286342387871131
6	0.0318239930833402
7	0.0326617268675393
8	0.0288908772863212
9	0.028402025123077
10	0.0294847879485449
11	0.025068224516943
12	0.0264609356762621
13	0.02701688920932
14	0.0276165851866125
15	0.0245378995823437
16	0.0246046307560377
17	0.0220122620330008
18	0.0238217669549988
19	0.0213437002734662
20	0.0207668066786117
21	0.0232294758899394
22	0.0233610544185248
23	0.0261976116925631
24	0.0375228265999138
25	0.0346427128232759
