seq_id	Sample
GmA02047	GmA02047_CKDL210018111-1a-AK3911-AK4236_HH72GDSX2_L1
GmA02049	GmA02049_CKDL210018111-1a-AK9144-AK533_HH72GDSX2_L1
GmA02054	GmA02054_CKDL210018111-1a-5UDI245-GC06_HH72GDSX2_L1
GmA02055	GmA02055_CKDL210018111-1a-AK9144-AK4236_HH72GDSX2_L1
GmA02058	GmA02058_CKDL210018111-1a-AK3911-AK8488_HH72GDSX2_L1
GmA02059	GmA02059_CKDL210018111-1a-AK3911-AK10343_HH72GDSX2_L1
GmA02060	GmA02060_CKDL210018111-1a-5UDI245-AK10343_HH72GDSX2_L1
GmC01002	GmC01002_CKDL210018111-1a-AK3905-7UDI214_HH72GDSX2_L1
GmC01005	GmC01005_CKDL210018111-1a-AK9142-7UDI214_HH72GDSX2_L1
GmC01006	GmC01006_CKDL210018111-1a-AK8410-7UDI214_HH72GDSX2_L1
GmC01008	GmC01008_CKDL210018111-1a-AK7759-7UDI214_HH72GDSX2_L1
GmC01009	GmC01009_CKDL210018111-1a-AK6881-7UDI214_HH72GDSX2_L1
GmC01012	GmC01012_CKDL210018111-1a-5UDI312-7UDI214_HH72GDSX2_L1
GmC01013	GmC01013_CKDL210018111-1a-AK9141-AK4971_HH72GDSX2_L1
GmC01014	GmC01014_CKDL210018111-1a-AK3905-AK4971_HH72GDSX2_L1
GmC01016	GmC01016_CKDL210018111-1a-5UDI298-AK4971_HH72GDSX2_L1
GmC01017	GmC01017_CKDL210018111-1a-AK9142-AK4971_HH72GDSX2_L1
GmC01018	GmC01018_CKDL210018111-1a-AK8410-AK4971_HH72GDSX2_L1
GmC01021	GmC01021_CKDL210018111-1a-AK6881-AK4971_HH72GDSX2_L1
GmC01022	GmC01022_CKDL210018111-1a-AK6260-AK4971_HH72GDSX2_L1
GmC01026	GmC01026_CKDL210018111-1a-AK3905-AK1864_HH72GDSX2_L1
GmC01028	GmC01028_CKDL210018111-1a-5UDI298-AK1864_HH72GDSX2_L1
GmC01029	GmC01029_CKDL210018111-1a-AK9142-AK1864_HH72GDSX2_L1
GmC01032	GmC01032_CKDL210018111-1a-AK7759-AK1864_HH72GDSX2_L1
GmC01033	GmC01033_CKDL210018111-1a-AK6881-AK1864_HH72GDSX2_L1
GmC01035	GmC01035_CKDL210018111-1a-AK7010-AK1864_HH72GDSX2_L1
GmC01036	GmC01036_CKDL210018111-1a-5UDI312-AK1864_HH72GDSX2_L1
GmC01037	GmC01037_CKDL210018111-1a-AK9141-AK7558_HH72GDSX2_L1
GmC01038	GmC01038_CKDL210018111-1a-AK3905-AK7558_HH72GDSX2_L1
GmC01040	GmC01040_CKDL210018111-1a-5UDI298-AK7558_HH72GDSX2_L1
GmC01041	GmC01041_CKDL210018111-1a-AK9142-AK7558_HH72GDSX2_L1
GmC01042	GmC01042_CKDL210018111-1a-AK8410-AK7558_HH72GDSX2_L1
GmC01045	GmC01045_CKDL210018111-1a-AK6881-AK7558_HH72GDSX2_L1
GmC01047	GmC01047_CKDL210018111-1a-AK7010-AK7558_HH72GDSX2_L1
GmC01051	GmC01051_CKDL210018111-1a-AK7761-7UDI308_HH72GDSX2_L1
GmC01053	GmC01053_CKDL210018111-1a-AK9142-7UDI308_HH72GDSX2_L1
GmC01054	GmC01054_CKDL210018111-1a-AK8410-7UDI308_HH72GDSX2_L1
GmC01057	GmC01057_CKDL210018111-1a-AK6881-7UDI308_HH72GDSX2_L1
GmC01058	GmC01058_CKDL210018111-1a-AK6260-7UDI308_HH72GDSX2_L1
GmC01061	GmC01061_CKDL210018111-1a-AK9141-AK2587_HH72GDSX2_L1
GmC01062	GmC01062_CKDL210018111-1a-AK3905-AK2587_HH72GDSX2_L1
GmC01066	GmC01066_CKDL210018111-1a-AK8410-AK2587_HH72GDSX2_L1
GmC01068	GmC01068_CKDL210018111-1a-AK7759-AK2587_HH72GDSX2_L1
GmC01069	GmC01069_CKDL210018111-1a-AK6881-AK2587_HH72GDSX2_L1
GmC01070	GmC01070_CKDL210018111-1a-AK6260-AK2587_HH72GDSX2_L1
GmC01071	GmC01071_CKDL210018111-1a-AK7010-AK2587_HH72GDSX2_L1
GmC01072	GmC01072_CKDL210018111-1a-5UDI312-AK2587_HH72GDSX2_L1
GmC01073	GmC01073_CKDL210018111-1a-AK9141-GC12_HH72GDSX2_L1
GmC01074	GmC01074_CKDL210018111-1a-AK3905-GC12_HH72GDSX2_L1
GmC01075	GmC01075_CKDL210018111-1a-AK7761-GC12_HH72GDSX2_L1
GmC01077	GmC01077_CKDL210018111-1a-AK9142-GC12_HH72GDSX2_L1
GmC01078	GmC01078_CKDL210018111-1a-AK8410-GC12_HH72GDSX2_L1
GmC01080	GmC01080_CKDL210018111-1a-AK7759-GC12_HH72GDSX2_L1
GmC01081	GmC01081_CKDL210018111-1a-AK6881-GC12_HH72GDSX2_L1
GmC01082	GmC01082_CKDL210018111-1a-AK6260-GC12_HH72GDSX2_L1
GmC01085	GmC01085_CKDL210018111-1a-AK9141-7UDI246_HH72GDSX2_L1
GmC01086	GmC01086_CKDL210018111-1a-AK3905-7UDI246_HH72GDSX2_L1
GmC01087	GmC01087_CKDL210018111-1a-AK7761-7UDI246_HH72GDSX2_L1
