pos	3pG>A
1	0.0268228674106298
2	0.0351048511229911
3	0.0217265521032228
4	0.0223341627723493
5	0.0200997747022852
6	0.0272610647851187
7	0.0273369719531817
8	0.0257046223224352
9	0.0260759955046624
10	0.0256390371013773
11	0.0238659595271251
12	0.0247683588713305
13	0.0250884038531886
14	0.0241415822114657
15	0.0242208235383332
16	0.0253577975997905
17	0.0259944253661241
18	0.0241545153780174
19	0.0218373493975904
20	0.0246940289281741
21	0.0250270186814883
22	0.0244405137276013
23	0.0249218774171591
24	0.0261982918215903
25	0.026099176872114
