"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0361189491926467,0.0265783605766242,0.0596950555527671,0.12559232107863,0.878221753732671,-35382.0384533121
"Std.",0.000133454930682203,0.00229063159731454,0.00162497042660713,0.0290661683652645,0.003789563690647,1.61371426619666
"Acceptance ratio",0.26368,0.20672,0.13924,0.2244,0.28346,0.71672
"0%",0.0356210632423831,0.0162285269497546,0.0555430964851355,0.0504589219489088,0.863417908217041,-35393.1725529882
"2.5%",0.0358545116501105,0.0192159691200928,0.0574534424838322,0.0634203965143682,0.870759101759435,-35386.0378559666
"5%",0.035901264703873,0.0223001079546699,0.0576976394489314,0.078037720784787,0.871964495565979,-35385.1414737552
"7.5%",0.0359289845148932,0.0234914759803736,0.0579061718330308,0.0852115094802622,0.872768355205453,-35384.5872001619
"10%",0.0359488016081628,0.0241356699224959,0.0580812539597878,0.090960954886872,0.873366980949198,-35384.1999649499
"12.5%",0.035966009074248,0.0244690011422817,0.0582206772667396,0.0941154119493118,0.873926170776928,-35383.9180714395
"15%",0.0359818435813818,0.0247346152030335,0.0583467784762836,0.0968440225068663,0.874311047826792,-35383.6627427634
"17.5%",0.0359961247201487,0.0250386089239524,0.0584571873646248,0.0996458044902025,0.874719074491704,-35383.440328338
"20%",0.0360103537230105,0.0252947931900448,0.0585317282329314,0.102254400733791,0.87509927748724,-35383.226569971
"22.5%",0.0360201856483629,0.0254992989529221,0.0586082595474516,0.104610743130093,0.875388665793397,-35383.041332845
"25%",0.0360304797227034,0.0256917445645419,0.0586902319818724,0.106752616878761,0.87571859765175,-35382.8859449344
"27.5%",0.0360404740348758,0.0258394370012958,0.0587951955995396,0.108774525811518,0.875985708313146,-35382.7336396502
"30%",0.0360486462577084,0.0260014670367187,0.05886886187945,0.110603936956479,0.876251156148286,-35382.5896673597
"32.5%",0.0360579666346014,0.0261617367586385,0.0589464461997174,0.112615451054032,0.876515742507884,-35382.4567889268
"35%",0.0360662220079259,0.0263094568359574,0.0590278125713874,0.114293575948716,0.876780878964951,-35382.3356837211
"37.5%",0.0360750181752179,0.0264568135546529,0.059102294081626,0.116072054421011,0.877040611531835,-35382.2153581711
"40%",0.0360834124599435,0.0265831490834868,0.0591702302991065,0.118011258010467,0.877272685292218,-35382.1063989553
"42.5%",0.0360926730962736,0.0266920664238733,0.0592416548619642,0.119840564009279,0.877533928780954,-35381.9972879888
"45%",0.0361017906820986,0.0267932888023646,0.059310302510353,0.121318250812862,0.877774432901455,-35381.8938986586
"47.5%",0.0361104454552644,0.0268839351044677,0.0593873893016919,0.1227088318161,0.878003048143895,-35381.7944592756
"50%",0.0361183906859602,0.0269790966199753,0.0594629573402822,0.124384226717931,0.878214444134053,-35381.6915341324
"52.5%",0.0361258872716528,0.0270914562162249,0.0595398036052487,0.126066978310597,0.878450099052684,-35381.5949932128
"55%",0.0361341983311195,0.0271893424050787,0.0596169113192292,0.127726417870353,0.878667237469675,-35381.5030736316
"57.5%",0.0361440427652993,0.0273016480185373,0.0596837197709353,0.129444816573553,0.878910909011607,-35381.420983696
"60%",0.0361532390736255,0.0274164298145321,0.0597541102459194,0.130976150169945,0.879157087566103,-35381.3338772898
"62.5%",0.03616121955094,0.0275317001365938,0.059835079477896,0.132787275158956,0.879396550572617,-35381.2500933711
"65%",0.0361695043376446,0.0276298326133245,0.0599110737418688,0.134901548280747,0.879621985537512,-35381.1705490785
"67.5%",0.036178699565925,0.0277358718998369,0.0599972478966616,0.137445397244943,0.879910395440529,-35381.0897636577
"70%",0.0361886262247938,0.0278510851232997,0.0600816532824905,0.139829751875556,0.880138354258512,-35381.0044892763
"72.5%",0.036198627947336,0.0279949871569881,0.060176743975594,0.142374495942407,0.880404326457278,-35380.9224931903
"75%",0.0362082501322187,0.0281187413981993,0.0602846858863768,0.144865793641596,0.880713062250701,-35380.8443995248
"77.5%",0.0362189578523147,0.0282168840662236,0.0603971385225245,0.147325951698381,0.881061008381223,-35380.7673413584
"80%",0.0362298955239995,0.0283257458738818,0.0605207526674515,0.149896923366369,0.881392179582742,-35380.6800361549
"82.5%",0.0362424165415309,0.0284424315598565,0.0606832376883432,0.152410859694339,0.88174779690206,-35380.5903867684
"85%",0.0362551805220042,0.0285499779098099,0.0608217391940192,0.155293966623795,0.882117494813189,-35380.5037749052
"87.5%",0.0362701432062003,0.0286934244366435,0.0609966454911055,0.158540844248661,0.882578195245886,-35380.4127781483
"90%",0.0362881361707444,0.0288457912104766,0.0612339393537489,0.162663321354161,0.883080790766196,-35380.3115586638
"92.5%",0.0363095554764241,0.0290287531629836,0.0615881293282095,0.167682488949912,0.88370115062696,-35380.2084953662
"95%",0.0363366150164087,0.0292960007744611,0.0625281114054156,0.175878129538124,0.884520160253794,-35380.081267417
"97.5%",0.0363854414994708,0.0296384134822783,0.0650462376018954,0.187240445161588,0.885649422478504,-35379.9263829848
"100%",0.0367291862735776,0.0307820808297234,0.0676799134773289,0.229130298008086,0.894145365814853,-35379.5270124066
