pos	5pC>T
1	0.00667158331805761
2	0.0129739538485544
3	0.00987137443176985
4	0.0117264553419882
5	0.0114163806024271
6	0.0156349993098516
7	0.019002389240785
8	0.0137733235913151
9	0.0156817839709266
10	0.0172770360128655
11	0.0141926812486999
12	0.0149965307710099
13	0.0149197756326637
14	0.0164048695877709
15	0.0163606616978731
16	0.0171523786470618
17	0.0158212783592914
18	0.0159979152858268
19	0.0151883854169528
20	0.0154080854309687
21	0.0162010018820192
22	0.017612742746874
23	0.0170521149442917
24	0.018187706678485
25	0.0181155061733796
