"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.046890117438901,0.00469021726465476,3.38987746223804e-05,0.159513819068698,0.528053979155176,-5972.8612433873
"Std.",0.000211888129861809,0.000217947735119686,3.38352025765769e-05,0.0180490987826677,0.00299940019595684,1.7233039422592
"Acceptance ratio",0.23118,0.18874,0.18608,0.2713,0.26442,0.72602
"0%",0.0461232769370627,0.00397161039051842,1.18583668336835e-09,0.097146336391101,0.516381296220254,-5985.32649182654
"2.5%",0.0464740803006566,0.00426892819974313,9.26294397701095e-07,0.126669654628786,0.522249565946017,-5977.07994541956
"5%",0.0465505548114087,0.00433794169416876,1.72572333907635e-06,0.131657619092278,0.523087217444106,-5976.16869852369
"7.5%",0.0465886545490666,0.00437839398038861,2.55902326905316e-06,0.134572285024526,0.523715125820242,-5975.58781889355
"10%",0.0466198160012942,0.00441283216320662,3.5592973482843e-06,0.137036773057593,0.524247383256719,-5975.19249887382
"12.5%",0.046648114775993,0.00444070598804322,4.43737590667342e-06,0.139031328137187,0.524643875478921,-5974.85545549007
"15%",0.046670010548056,0.00446464872193813,5.48765012861027e-06,0.140978598482157,0.524969989751445,-5974.57584306758
"17.5%",0.0466927452517613,0.00448563988350714,6.60355576161649e-06,0.142822798263605,0.525257618490277,-5974.33065257385
"20%",0.046714329882343,0.0045057560304362,7.6381429418214e-06,0.144333417007324,0.525524019562295,-5974.1249165561
"22.5%",0.0467332681642123,0.00452551754205419,8.86937023088067e-06,0.145633646345076,0.525769397721772,-5973.93143423285
"25%",0.046748003236237,0.00454426927235575,1.0056326733217e-05,0.147070373374056,0.525995006239643,-5973.7613411144
"27.5%",0.0467626088094224,0.00455964530307684,1.10765234576079e-05,0.14833046310395,0.526213322466384,-5973.59727884219
"30%",0.0467779487881632,0.00457344807445561,1.23482744210436e-05,0.149701061836518,0.526448318752355,-5973.44774451274
"32.5%",0.0467921471526536,0.00458645199474348,1.35893769897778e-05,0.150822456936475,0.526686666356536,-5973.32789465404
"35%",0.0468076864574145,0.00460490072406195,1.48875465702001e-05,0.152091680874816,0.526895479278055,-5973.19611322075
"37.5%",0.0468217373761616,0.00461908837860863,1.62730952148203e-05,0.153226610583952,0.527089858233596,-5973.07928099603
"40%",0.0468337059355738,0.00463258102686948,1.7871411151279e-05,0.154318408664232,0.527284393740611,-5972.96394534613
"42.5%",0.0468473979658542,0.00464532641732229,1.94348631687913e-05,0.155280392502038,0.527470362782389,-5972.84480458846
"45%",0.0468595006942343,0.00465919645178001,2.08208895230865e-05,0.15636575940756,0.527672827865327,-5972.7404887489
"47.5%",0.0468728772829754,0.00467451026045426,2.21188208755988e-05,0.157546394187026,0.527856223355858,-5972.63529799854
"50%",0.0468851125931025,0.00468829184365436,2.34496305145293e-05,0.158661678315261,0.528044253146808,-5972.53260245805
"52.5%",0.0468986114085175,0.00470176228685305,2.52450244468058e-05,0.159598413526814,0.528220228444456,-5972.43310437631
"55%",0.0469136998220133,0.00471629205571671,2.69110426827509e-05,0.160729922769101,0.528424109003988,-5972.33748758328
"57.5%",0.0469279948164971,0.00473094953836576,2.89785299176493e-05,0.161931359007301,0.528637248823463,-5972.2417063729
"60%",0.0469434011447624,0.00474338512980241,3.11720723197897e-05,0.162939546820943,0.528823617843195,-5972.1472841822
"62.5%",0.0469574933019146,0.00475792001264797,3.31136941841694e-05,0.16408063504741,0.529035825494012,-5972.05350498395
"65%",0.0469708466402261,0.0047719980592308,3.52253134858689e-05,0.165485141257576,0.529235906268507,-5971.96320325479
"67.5%",0.0469848158427429,0.00478657494396486,3.75872514133699e-05,0.166792501120279,0.529458048484313,-5971.87019219232
"70%",0.0470000173441119,0.0048015898499835,4.05692410675888e-05,0.168164220328666,0.529660448074639,-5971.78332156305
"72.5%",0.0470163726619714,0.00481648488303946,4.36596348845414e-05,0.169498968455819,0.529861104270802,-5971.69191970369
"75%",0.0470330609146265,0.0048340174848446,4.67588754529882e-05,0.171115764261272,0.530072082883707,-5971.60364191871
"77.5%",0.0470497550160335,0.00485045448587892,5.04396602792611e-05,0.172635861020093,0.530319420997646,-5971.51168933091
"80%",0.0470678361685401,0.00486937783027041,5.44887835104291e-05,0.174450302862293,0.530557096234125,-5971.41490196496
"82.5%",0.0470896505775135,0.00489101771812889,5.87468682086218e-05,0.176361469930406,0.530844655855599,-5971.31643474507
"85%",0.0471111619710781,0.00491551390623234,6.39931744077972e-05,0.178385339058457,0.531139524829329,-5971.21539005777
"87.5%",0.0471369462419857,0.00493957192871506,7.03218111424647e-05,0.180463513581675,0.531488129147201,-5971.10142717793
"90%",0.0471643126193567,0.00496520075781093,7.80984512031926e-05,0.183148042922043,0.531921331147142,-5970.98175278585
"92.5%",0.0472003135716929,0.00500846722227084,8.83171028115189e-05,0.186274333923375,0.532369695837144,-5970.84094811297
"95%",0.0472394077950031,0.00505280729431573,0.0001001999524784,0.190524429687723,0.533024550229053,-5970.6794133901
"97.5%",0.0473039511372734,0.00513160389427042,0.000124510066865055,0.197215243949506,0.533897307562929,-5970.49124601851
"100%",0.0477968086184769,0.00557338816762753,0.000324836433251457,0.249075211498479,0.538840666917151,-5969.96263277445
