Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
GmA01029_CKDL210018111-1a-AK7758-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	88888.0	45058.0	82376.0	3679.0	1324.0	1263.0	413.0	216.0	3.0	0.0	0.0	200843.0	2855616.0
GmA01029_CKDL210018111-1a-AK7758-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	88425.0	45766.0	82202.0	3678.0	1327.0	1291.0	396.0	195.0	3.0	0.0	0.0	200780.0	2855616.0
GmA01030_CKDL210018111-1a-AK7758-AK8488_HH72GDSX2_L1_clmp_fp2_r1_screen	34641.0	47830.0	29611.0	2730.0	1197.0	1332.0	472.0	264.0	8.0	0.0	0.0	127211.0	2911660.0
GmA01030_CKDL210018111-1a-AK7758-AK8488_HH72GDSX2_L1_clmp_fp2_r2_screen	0.0	0.0	42193.0	11227.0	1737.0	1876.0	1227.0	663.0	5.0	23.0	0.0	85954.0	3012051.0
GmA01031_CKDL210018111-1a-AK7758-AK4236_HH72GDSX2_L1_clmp_fp2_r1_screen	30925.0	128899.0	17234.0	9446.0	4685.0	1643.0	1786.0	1302.0	14.0	0.0	0.0	718618.0	14227034.0
GmA01031_CKDL210018111-1a-AK7758-AK4236_HH72GDSX2_L1_clmp_fp2_r2_screen	30717.0	130340.0	17449.0	9451.0	4674.0	1612.0	1713.0	1287.0	24.0	0.0	0.0	720314.0	14224005.0
GmA01032_CKDL210018111-1a-AK7758-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	36731.0	79131.0	22919.0	4539.0	2294.0	1740.0	990.0	504.0	9.0	0.0	1.0	276305.0	4929528.0
GmA01032_CKDL210018111-1a-AK7758-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	36727.0	79463.0	22943.0	4579.0	2186.0	1744.0	962.0	465.0	7.0	0.0	0.0	276622.0	4928993.0
GmA01033_CKDL210018111-1a-AK9143-AK4234_HH72GDSX2_L1_clmp_fp2_r1_screen	76158.0	45535.0	103523.0	4010.0	1957.0	350.0	794.0	528.0	2.0	0.0	0.0	316022.0	9710527.0
GmA01033_CKDL210018111-1a-AK9143-AK4234_HH72GDSX2_L1_clmp_fp2_r2_screen	75712.0	46274.0	103736.0	4051.0	1895.0	370.0	714.0	519.0	6.0	0.0	0.0	315602.0	9710527.0
GmA01035_CKDL210018111-1a-AK7078-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	35337.0	102565.0	19994.0	6641.0	3337.0	1586.0	1430.0	740.0	6.0	0.0	0.0	400608.0	7769491.0
GmA01035_CKDL210018111-1a-AK7078-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	35052.0	102845.0	19861.0	6596.0	3318.0	1538.0	1345.0	719.0	12.0	0.0	0.0	401792.0	7768657.0
GmA01037_CKDL210018111-1a-AK7078-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	87346.0	201234.0	21916.0	13937.0	7051.0	1648.0	3199.0	1665.0	25.0	0.0	3.0	886992.0	13306608.0
GmA01037_CKDL210018111-1a-AK7078-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	86919.0	202927.0	22307.0	13790.0	7133.0	1494.0	3136.0	1615.0	20.0	0.0	0.0	887129.0	13305154.0
GmA01039_CKDL210018111-1a-AK7078-AK10343_HH72GDSX2_L1_clmp_fp2_r1_screen	508350.0	119636.0	27563.0	7367.0	3632.0	1796.0	1749.0	1007.0	10.0	0.0	0.0	524210.0	7510579.0
GmA01039_CKDL210018111-1a-AK7078-AK10343_HH72GDSX2_L1_clmp_fp2_r2_screen	504481.0	120955.0	27587.0	7409.0	3527.0	1837.0	1786.0	914.0	13.0	0.0	0.0	524200.0	7513190.0
GmA01041_CKDL210018111-1a-AK9143-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	460357.0	38655.0	62602.0	2638.0	1164.0	886.0	482.0	260.0	1.0	0.0	0.0	277602.0	7890061.0
GmA01041_CKDL210018111-1a-AK9143-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	458132.0	39206.0	62751.0	2599.0	1163.0	903.0	450.0	271.0	1.0	0.0	0.0	276550.0	7892682.0
GmA01042_CKDL210018111-1a-AK7758-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	0.0	0.0	57951.0	16917.0	2796.0	2226.0	1921.0	884.0	4.0	8.0	0.0	181086.0	4004691.0
GmA01042_CKDL210018111-1a-AK7758-GC06_HH72GDSX2_L1_clmp_fp2_r2_screen	26945.0	66760.0	36561.0	3627.0	1678.0	1536.0	713.0	371.0	4.0	0.0	0.0	232737.0	3897552.0
GmA01055_CKDL210018111-1a-AK9143-AK4236_HH72GDSX2_L1_clmp_fp2_r1_screen	600199.0	49389.0	15057.0	3205.0	1666.0	1159.0	490.0	336.0	3.0	0.0	1.0	278608.0	8977914.0
GmA01055_CKDL210018111-1a-AK9143-AK4236_HH72GDSX2_L1_clmp_fp2_r2_screen	596550.0	48792.0	15055.0	3175.0	1568.0	1153.0	517.0	311.0	6.0	0.0	0.0	278022.0	8982878.0
GmA01060_CKDL210018111-1a-5UDI225-AK533_HH72GDSX2_L1_clmp_fp2_r1_screen	548987.0	61798.0	16773.0	5300.0	2414.0	773.0	902.0	672.0	47.0	0.0	0.0	380003.0	13437847.0
GmA01060_CKDL210018111-1a-5UDI225-AK533_HH72GDSX2_L1_clmp_fp2_r2_screen	547673.0	63361.0	16711.0	5395.0	2437.0	773.0	875.0	674.0	16.0	0.0	0.0	378308.0	13439293.0
GmA01065_CKDL210018111-1a-AK9143-AK7557_HH72GDSX2_L1_clmp_fp2_r1_screen	1885449.0	176158.0	26094.0	11094.0	4697.0	5879.0	2222.0	1231.0	15.0	0.0	0.0	875111.0	23954789.0
GmA01065_CKDL210018111-1a-AK9143-AK7557_HH72GDSX2_L1_clmp_fp2_r2_screen	1875656.0	175541.0	26025.0	10827.0	4866.0	5811.0	2245.0	1180.0	8.0	0.0	0.0	872320.0	23968260.0
GmA01074_CKDL210018111-1a-AK7078-GC06_HH72GDSX2_L1_clmp_fp2_r1_screen	759308.0	26031.0	4422.0	1276.0	417.0	931.0	124.0	49.0	1.0	0.0	1.0	148457.0	6468561.0
