pos	3pG>A
1	0.0101006985673971
2	0.0123750359978607
3	0.00926239367333857
4	0.0101724067324624
5	0.0102885394024635
6	0.0142690197141115
7	0.0138761618012829
8	0.012802993835308
9	0.0136357823390242
10	0.0139642451305197
11	0.0150303332372846
12	0.0155523463412312
13	0.0145801951007322
14	0.0154884451282377
15	0.0150860344137655
16	0.0157692338699925
17	0.015542547824764
18	0.0154724701182383
19	0.0162321887967631
20	0.015187398671202
21	0.0177205446060587
22	0.0170524935020769
23	0.0168590655215426
24	0.0152723957146114
25	0.017033441293623
