"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0549588153584531,0.00111133270813359,1.48807542029856e-05,0.155114965742573,0.42746969679553,-8813.27497587157
"Std.",0.000170700687596825,0.00015233065283401,1.48484672359901e-05,0.0247144345998313,0.00174125595260578,1.71885668054658
"Acceptance ratio",0.19926,0.1423,0.16196,0.2237,0.17302,0.6275
"0%",0.0543088270184965,0.000458947665715052,8.27713632558385e-10,0.0596009452506002,0.420689385347466,-8829.54269656337
"2.5%",0.0546251462325476,0.000812340693815837,3.72779922465648e-07,0.111761700120479,0.424015698755889,-8817.42569299491
"5%",0.0546777945552632,0.000861778696112119,8.18141791021807e-07,0.118036140188262,0.424613510010877,-8816.53831945207
"7.5%",0.0547127974642076,0.000890404057875989,1.19406249141885e-06,0.12206998114711,0.424959801250368,-8815.98351207717
"10%",0.0547421975422386,0.000913873433501488,1.57779415464361e-06,0.125291284654364,0.425226118166236,-8815.58200592058
"12.5%",0.0547621197231641,0.000934794933961459,1.96098529296767e-06,0.127865993052567,0.425463464560712,-8815.26445771459
"15%",0.0547805550226004,0.000950857639917821,2.3559640101914e-06,0.130014659287575,0.425652392858318,-8814.99786555181
"17.5%",0.0547977717717505,0.000968417503953583,2.83174957320177e-06,0.132112084677469,0.425821574620411,-8814.77200510368
"20%",0.0548128323465448,0.000984848278535217,3.26802648145688e-06,0.134085045490917,0.425981095632094,-8814.55808087108
"22.5%",0.0548288050855441,0.000997188614976587,3.73112935560513e-06,0.136066180356637,0.426118770998454,-8814.37032332932
"25%",0.0548420827946553,0.00100962263025113,4.19686720542812e-06,0.13792726221076,0.426279292891791,-8814.20390255489
"27.5%",0.0548572309829679,0.00102071854203087,4.64656417080246e-06,0.139559242138799,0.426413964110994,-8814.05806590192
"30%",0.0548689548028409,0.00103086702086152,5.2309474115746e-06,0.141283274165271,0.426543335803956,-8813.9021173973
"32.5%",0.0548800953133839,0.00104149913655138,5.74161880698581e-06,0.142834228188748,0.426677136868949,-8813.76244622082
"35%",0.0548913912977619,0.00105221748928157,6.23856188303806e-06,0.144341892646658,0.426821431944701,-8813.63487326464
"37.5%",0.0549035887601455,0.00106356868000309,6.83389592591209e-06,0.145897764610538,0.426947377356026,-8813.50529285074
"40%",0.054915506123479,0.00107453579845491,7.52016108833909e-06,0.147554148126198,0.427072131854933,-8813.38506938985
"42.5%",0.0549255310154474,0.00108567843086374,8.11626398311451e-06,0.149111869611053,0.427170135045189,-8813.26689639192
"45%",0.0549375966105986,0.00109541136235748,8.75887070142001e-06,0.150622355347534,0.427281282238225,-8813.16201146137
"47.5%",0.0549492278170171,0.00110733908174426,9.46517117183823e-06,0.151992916453604,0.427383316827257,-8813.05842034252
"50%",0.0549597108211702,0.00111445921984459,1.02030286036756e-05,0.153443081689989,0.427486861739696,-8812.95878385148
"52.5%",0.0549714918152206,0.00112270492497176,1.08955659353703e-05,0.154716880476916,0.427579274224777,-8812.8595033861
"55%",0.0549808330496981,0.00113122192143522,1.16909441662088e-05,0.156326725066475,0.427691040997942,-8812.7579792748
"57.5%",0.0549911844613836,0.00114047046843838,1.26937035001226e-05,0.157842376585181,0.427794448680253,-8812.65391293948
"60%",0.0550029488571174,0.00114827436369772,1.3654595584515e-05,0.159441053067011,0.427900959820848,-8812.55842274034
"62.5%",0.0550150047755338,0.00115690647184626,1.46428838002063e-05,0.160975905989545,0.428006463005687,-8812.46362128633
"65%",0.0550248014589892,0.00116670740839993,1.56425867468737e-05,0.162477480309982,0.428117742963263,-8812.36868802622
"67.5%",0.0550359708014517,0.00117901370069286,1.68300730927099e-05,0.164154632673946,0.42823499725507,-8812.27894972471
"70%",0.0550472356594456,0.00119067640107322,1.81242980673543e-05,0.166159441881634,0.428366784955761,-8812.19142503917
"72.5%",0.0550595702787405,0.00120282198458336,1.9324575290184e-05,0.168235161136636,0.428490929791134,-8812.09173648445
"75%",0.0550729948430109,0.00121427895985925,2.07079338806058e-05,0.170242443885152,0.428637892422225,-8811.99595568684
"77.5%",0.0550871243610224,0.00122570147142072,2.21712015814752e-05,0.17236853641675,0.428760980583501,-8811.90759315756
"80%",0.0550995934420031,0.00124003811874846,2.41334324701843e-05,0.174694420848744,0.428905584611202,-8811.80735608755
"82.5%",0.0551178362505354,0.0012539234618586,2.64184160271585e-05,0.177398204520878,0.429112918379702,-8811.70575167936
"85%",0.0551354376389068,0.00127062872134991,2.81891772269281e-05,0.180173348870044,0.429307841097164,-8811.61008686562
"87.5%",0.0551548069934435,0.0012849625290242,3.11658201909952e-05,0.183699539303999,0.429500090258387,-8811.50910901589
"90%",0.0551789323458001,0.00130187551814203,3.46897216357691e-05,0.187698100614483,0.429742124124098,-8811.39454402302
"92.5%",0.0552098870816755,0.00132838097551836,3.87047795665898e-05,0.192062657644706,0.429945297708859,-8811.25824951262
"95%",0.0552405126166168,0.00136543688382057,4.47783251296651e-05,0.198473849396322,0.430304169149954,-8811.10292403738
"97.5%",0.0552925819596967,0.00141186690980428,5.54061196999263e-05,0.208420399103601,0.430895227973886,-8810.92971337379
"100%",0.0556121491792697,0.00174449291770124,0.000136117237443456,0.289358996406976,0.434219258338085,-8810.3847310344
