pos	3pG>A
1	0.0299703955027775
2	0.0374251497005988
3	0.02217269774118
4	0.0209969671047515
5	0.0200463883366468
6	0.0259750736094865
7	0.0268905493061828
8	0.0262916188289323
9	0.0248760135401086
10	0.0246706680177722
11	0.0220887351252709
12	0.0221885443382296
13	0.0251773861295491
14	0.0228312302839117
15	0.0242166344294004
16	0.024044020893975
17	0.0269147118222775
18	0.0229355993548133
19	0.0232244233594029
20	0.0241585551776709
21	0.0240567739866084
22	0.0238905118252031
23	0.0247829518547751
24	0.0227631994941511
25	0.0269516363493498
