pos	3pG>A
1	0.0367636941320691
2	0.0421552373775433
3	0.0264861245443047
4	0.0259331434567531
5	0.0239685537488292
6	0.0292218056998329
7	0.0294319061513726
8	0.0262318179934524
9	0.0273187434866756
10	0.0260997623317732
11	0.0255862603683602
12	0.0253369272237197
13	0.0263517265183006
14	0.0249398509477143
15	0.0241424241980587
16	0.0239533619283514
17	0.0249550565221366
18	0.0230889762811847
19	0.0226238266501515
20	0.0238886550658172
21	0.0247264502720215
22	0.0244534679872338
23	0.0280041266091533
24	0.0284756860262211
25	0.0289771080846132
