"","Position","C.T","G.A"
"1",1,0.777338843865189,0.430693456496768
"2",2,0.771819339142484,0.43532152494604
"3",3,0.763620781167842,0.454111633751592
"4",4,0.754299152412036,0.475026132557766
"5",5,0.743340855787029,0.498602088226561
"6",6,0.729774556915494,0.525813859615545
"7",7,0.71299154368976,0.554970348786641
"8",8,0.69712145288146,0.575359150434056
"9",9,0.690309793483622,0.57580636057921
"10",10,0.689700178126683,0.56472746437755
"11",11,0.695400263244842,0.540103012230964
"12",12,0.703544445883365,0.506041722542142
"13",-12,0.560195621235002,0.678211676114243
"14",-11,0.573724844888521,0.677157136989437
"15",-10,0.582863439462496,0.678495149316687
"16",-9,0.587292424524223,0.682665234822349
"17",-8,0.590407452325383,0.687709535692161
"18",-7,0.583996025236311,0.697992777551444
"19",-6,0.572965292252565,0.709924350890069
"20",-5,0.558187297282831,0.722435492879595
"21",-4,0.53887613049406,0.735288791333095
"22",-3,0.518549800650107,0.747024197934626
"23",-2,0.507944996969356,0.755249584359023
"24",-1,0.517184622602052,0.758461271341113
