pos	3pG>A
1	0.0163002336833097
2	0.0238561935267964
3	0.0130066599828129
4	0.015211071530934
5	0.0142048941607061
6	0.019633205525015
7	0.0197595233028304
8	0.0181390013906229
9	0.0192828423730204
10	0.0188324933357796
11	0.0167756752708573
12	0.0168096930660016
13	0.0178434871271986
14	0.0183155805220452
15	0.018593510540044
16	0.0188907452773137
17	0.0186401272586369
18	0.0183972911963883
19	0.0171532432125412
20	0.0184756306535534
21	0.0182833978105194
22	0.0189309921490545
23	0.0182810480313507
24	0.0186377114047503
25	0.0183134626738898
