"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0715986900127296,0.0240572185033413,0.000507898407161944,0.134986192958554,0.43911073396046,-5702.41958411855
"Std.",0.000352805309612006,0.000910782364250866,0.000481831160104866,0.0218480150850776,0.00279568593132287,1.71214549281085
"Acceptance ratio",0.20832,0.18196,0.1708,0.27568,0.25652,0.7096
"0%",0.0704314260049168,0.0211950216774589,1.32842996290034e-07,0.0740793740234634,0.428902326287877,-5713.05699605839
"2.5%",0.0709081608405103,0.0223750252570073,1.13858501140196e-05,0.0951699965924487,0.433585830964072,-5706.6435252248
"5%",0.0710184090897768,0.022622549551958,2.62718985876791e-05,0.100985920049224,0.434522561298393,-5705.71026089884
"7.5%",0.0710935054591476,0.0227713532089781,4.13894748986279e-05,0.105121430070806,0.43511408935808,-5705.14855352647
"10%",0.0711449575050724,0.0228947246472729,5.48470322339426e-05,0.108149394568495,0.435573075800316,-5704.72237476397
"12.5%",0.0711949855454563,0.0230013841111189,7.11448641641548e-05,0.110612333666767,0.435962409199022,-5704.39312735977
"15%",0.0712345809740362,0.0230918462133358,8.811576399919e-05,0.112678447792492,0.436244880028091,-5704.11662924464
"17.5%",0.0712643575933883,0.0231846545572452,0.000104230008313167,0.114711640408014,0.436512009072085,-5703.88568108189
"20%",0.0712956134246819,0.0232696385655212,0.000123099143546795,0.116431457564369,0.436736945309835,-5703.67486513834
"22.5%",0.0713278009503402,0.0233526026732192,0.000139215987078425,0.117883739613539,0.436986451550252,-5703.49181396565
"25%",0.0713567869036368,0.0234153067882999,0.000159602725468242,0.119371200275337,0.437193177789436,-5703.31553077939
"27.5%",0.0713884719033682,0.0234747698378231,0.000177943111474543,0.120816587968635,0.437417774611699,-5703.15812485677
"30%",0.0714134801607472,0.0235526285773906,0.000195771100173437,0.12218344913865,0.437602084563458,-5703.00989698385
"32.5%",0.0714379949344241,0.0236177032500384,0.000214647895953092,0.123769443464785,0.437794145774426,-5702.8696238843
"35%",0.0714626255579615,0.0236727726003074,0.000231438606561095,0.12539319213631,0.437982279591275,-5702.74069054123
"37.5%",0.0714857282931355,0.0237301124107493,0.000250326970430756,0.126924169098825,0.438155943884418,-5702.62461057716
"40%",0.0715091705218034,0.0237979814989326,0.000270587370473248,0.128222127730972,0.438348205916378,-5702.51017002047
"42.5%",0.0715347753686158,0.023851473123723,0.000289233313294982,0.129619070879536,0.438528778202307,-5702.39987182054
"45%",0.071556299401883,0.0239136131936534,0.000318216617052415,0.130887850031446,0.438725425377923,-5702.28599647737
"47.5%",0.0715768357739732,0.0239651657084057,0.000338651985665749,0.132354797791213,0.438919935300949,-5702.18431896514
"50%",0.0716024584516413,0.0240134212079361,0.000363849598503094,0.1337572984432,0.43910636529132,-5702.08518294129
"52.5%",0.0716226635410813,0.0240729111742158,0.000388461673100389,0.135268201433631,0.439300159318886,-5701.98404643711
"55%",0.0716424049505064,0.0241311183599398,0.000410742782169191,0.136644583176745,0.439476978244205,-5701.88650426913
"57.5%",0.0716664781256191,0.024189679245008,0.000440262801030481,0.137981953503,0.439675302086545,-5701.79624872981
"60%",0.0716897719635297,0.0242536625028298,0.000468403077412673,0.139419300883751,0.439837932525418,-5701.71000700855
"62.5%",0.0717114461736209,0.0243148712083579,0.000502944573521597,0.140904909883147,0.440017338463498,-5701.62025924736
"65%",0.0717376427906807,0.0243782546280167,0.000539685162038084,0.142263699622765,0.440213568172103,-5701.52298472378
"67.5%",0.0717617050680976,0.0244478610148424,0.000581075162595566,0.143914338893712,0.44041006015942,-5701.42642934008
"70%",0.0717827751273344,0.0245165421490456,0.000623962300487373,0.145657831800513,0.440603174307418,-5701.33912411761
"72.5%",0.0718098560205682,0.0245804486952054,0.000661392198387418,0.147301760325411,0.440783141415002,-5701.25182640983
"75%",0.0718392481635671,0.0246579813296325,0.00071042455221723,0.148934280813988,0.440966006783245,-5701.1608872248
"77.5%",0.0718674247355583,0.0247477747782358,0.000764113496738505,0.150704879977725,0.44120572164804,-5701.07122621268
"80%",0.0719015302491704,0.0248265651268676,0.000826982727489103,0.152686878060707,0.441442908776926,-5700.97936055194
"82.5%",0.0719389496261166,0.0249206164139334,0.000893224748728105,0.154934313991342,0.441711381434296,-5700.88434585939
"85%",0.0719680890652381,0.025017952288963,0.000959993334941961,0.157732486452363,0.442027095520443,-5700.77887596484
"87.5%",0.0720067234942045,0.0251231734557079,0.00104817133962413,0.160575997805776,0.442327051525371,-5700.671048365
"90%",0.0720500879392245,0.0252619501767603,0.00116929439382365,0.1641693662582,0.442714564819814,-5700.55542982166
"92.5%",0.0721045438393042,0.0254239305073289,0.00131459945505695,0.16815305724495,0.443225053711932,-5700.42984210139
"95%",0.0721755285867181,0.0256281526144209,0.00149248547276098,0.173231965235359,0.443735384322395,-5700.28707813214
"97.5%",0.0722775338522873,0.0259541950363914,0.00179144325624004,0.181452623912304,0.444574081366173,-5700.106399269
"100%",0.073012671524913,0.0272374677088408,0.00382794261280665,0.224233483362139,0.450305331310461,-5699.5491825519
