"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0453187995711773,0.0220773673237836,0.0559344549199535,0.538918516714296,0.682817236117895,-8369.79715688973
"Std.",0.000309504662828709,0.000334614928989439,0.00603095357237086,0.0580532683117326,0.00563640476809652,1.58601710772956
"Acceptance ratio",0.17034,0.1607,0.2185,0.26868,0.24118,0.698
"0%",0.0441131138665184,0.0207844548003934,0.0388159733717148,0.311568749011673,0.661760115096826,-8384.22321126944
"2.5%",0.0447177696470638,0.0214179771334286,0.0456165214174068,0.423265323987734,0.672080122634777,-8373.76021583778
"5%",0.0448179148619131,0.0215305478733455,0.0468215261313123,0.443142600936872,0.673688363406082,-8372.86902298418
"7.5%",0.0448805345689005,0.0215969236602315,0.0477798161445344,0.456111159624991,0.674666114635375,-8372.32908043099
"10%",0.0449193547161039,0.0216451854808829,0.0485865888554137,0.465553525440465,0.675509864488733,-8371.92865450937
"12.5%",0.044959302112085,0.0216874722614032,0.0493512596114193,0.473010752787021,0.676219447359592,-8371.62597691198
"15%",0.0450006394388691,0.0217319380959721,0.0499551417857227,0.47969582196333,0.676901280299632,-8371.37316309951
"17.5%",0.0450356639609611,0.0217652016024583,0.0504754085622305,0.486144376733176,0.677568442691752,-8371.13547571073
"20%",0.0450616636768922,0.0217980951056614,0.0509503133505012,0.491394103611463,0.678122330797906,-8370.93455896484
"22.5%",0.0450857000585094,0.0218330262376106,0.0513634265199882,0.496172237364433,0.678615073974797,-8370.76151993453
"25%",0.0451106128742659,0.0218599423881576,0.0517580031360843,0.500583922399166,0.679015748226968,-8370.59515202919
"27.5%",0.0451350416017261,0.021882879412621,0.0521408225563291,0.504368656292923,0.679432598325449,-8370.43887189481
"30%",0.0451565148030593,0.0219064671637509,0.0525269675129394,0.509049997896469,0.679832723278989,-8370.30408270088
"32.5%",0.0451765036733762,0.0219290404032776,0.0528912522983816,0.513445474425325,0.680229693332355,-8370.18011710143
"35%",0.0451988619146561,0.0219500040964368,0.0532479715035213,0.517318673094878,0.680608045307755,-8370.06778397932
"37.5%",0.0452185160741401,0.0219716208827436,0.0536277770039293,0.520623730126706,0.681008078514788,-8369.95485083486
"40%",0.0452363657101404,0.0219923443333425,0.0540214243516562,0.524470958971305,0.681369920835244,-8369.84857768305
"42.5%",0.0452580017737577,0.022014101272666,0.0544322605751623,0.52818281257828,0.681743413205139,-8369.75380073772
"45%",0.0452762441031246,0.0220355472819758,0.0547853344031241,0.531289666875572,0.682126135102508,-8369.65898874196
"47.5%",0.045296722579162,0.0220554036433756,0.0551027915590846,0.535053808751137,0.68247927666694,-8369.56342487757
"50%",0.0453177794962915,0.0220750434619628,0.0554144221928132,0.538658060909702,0.682862564702084,-8369.47134668219
"52.5%",0.045335820366754,0.022093802489042,0.0557745179679844,0.542102603500782,0.683208972887951,-8369.37918545909
"55%",0.0453570648282928,0.0221154308695164,0.0561719356032596,0.545678879545905,0.683561107134051,-8369.28728294004
"57.5%",0.0453767955435634,0.0221359037339755,0.0565260793281514,0.549279882868765,0.683894860746435,-8369.19858493843
"60%",0.0453968728878976,0.0221582042392326,0.0569196929934451,0.553138021435863,0.684205181521474,-8369.11614618511
"62.5%",0.0454171116500817,0.0221809735275509,0.0572694433989877,0.557164639359969,0.68457365443722,-8369.03521403238
"65%",0.0454404664656626,0.0222059362657094,0.0576425422438166,0.561068744692853,0.684951959974743,-8368.95803685037
"67.5%",0.0454613271888974,0.0222312799132616,0.0580994364938932,0.564977107092378,0.685353975932596,-8368.87263252275
"70%",0.0454823578594782,0.0222548531765186,0.0586024247421219,0.569104919495094,0.685712093213184,-8368.79536226222
"72.5%",0.045505137507515,0.0222806940583325,0.0590900316093919,0.572947444195006,0.686123897030403,-8368.7170618732
"75%",0.0455286876685617,0.0223078206822361,0.0596297603726723,0.577545047623332,0.686542930676709,-8368.63593221495
"77.5%",0.0455522818022561,0.0223343670510644,0.0601280604946627,0.582631873497161,0.687012331706328,-8368.55581210626
"80%",0.0455804713412742,0.0223635688493806,0.0606844668578365,0.587362488015597,0.687490660562598,-8368.47445147591
"82.5%",0.0456093335247952,0.0223921232712694,0.0613220179598541,0.593449527156804,0.688018577354096,-8368.38733584971
"85%",0.0456425479217158,0.0224263988758941,0.0619610317996403,0.599044828339574,0.68854930523755,-8368.2939101686
"87.5%",0.0456789063311348,0.0224628541785004,0.0628113694786471,0.605428365659112,0.689195765139939,-8368.20130883778
"90%",0.0457186625241089,0.0225030741525012,0.0637875327643212,0.612984496858877,0.689873200549026,-8368.10897020773
"92.5%",0.0457712547656703,0.0225584551881454,0.0650656926001645,0.622074407778714,0.690793170963463,-8368.00052882517
"95%",0.0458251640914013,0.0226217768495809,0.0666856149538176,0.635088589107901,0.692062827549411,-8367.8723346909
"97.5%",0.04591344310341,0.0227262964863695,0.0691803824470061,0.651164475668484,0.694100498182286,-8367.71873919187
"100%",0.0465243530532205,0.0233386403388199,0.0978261228331918,0.815685087091313,0.705939441652744,-8367.31137918348
