"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0422815635766148,0.00499934029151318,2.25403121003031e-05,0.156474757070253,0.548580189031357,-12476.0965860097
"Std.",0.000182028290687262,0.000182587574745411,2.27575540746509e-05,0.0134757742684612,0.00292779076078616,1.73472577135256
"Acceptance ratio",0.19752,0.15714,0.12466,0.215,0.25444,0.652
"0%",0.0415791075924428,0.00435068542164243,2.2583370163402e-08,0.110632312483761,0.53798720004069,-12489.8271661972
"2.5%",0.0419279299725965,0.00464493074869051,5.72479878416634e-07,0.130997120618259,0.542856079961664,-12480.377616087
"5%",0.0419784663139015,0.00470672455032647,9.74224336814006e-07,0.135222743862597,0.54382907182016,-12479.4033721361
"7.5%",0.0420184272267025,0.00474297872967981,1.52610737066781e-06,0.137613386435247,0.544399709257686,-12478.8590355157
"10%",0.0420454952876574,0.00476829387535871,2.16789171692595e-06,0.139413210894678,0.544835240372084,-12478.4391304216
"12.5%",0.042073761320012,0.00479162721783311,2.76922773500207e-06,0.141014170591964,0.545235198691873,-12478.1147637365
"15%",0.0420938472281988,0.00481113802191404,3.53440033507629e-06,0.142539267565436,0.545550495758861,-12477.8120908792
"17.5%",0.0421109273765363,0.00482985093765898,4.22932456156631e-06,0.143944749280062,0.54583265678134,-12477.5752800896
"20%",0.0421254358112006,0.00484409010209286,4.8525307421149e-06,0.145208914749718,0.546103540483131,-12477.3676461053
"22.5%",0.0421423922795637,0.00486070665318263,5.52381919389347e-06,0.14624209386762,0.546363781825346,-12477.1833858553
"25%",0.0421576438632903,0.00487536489441435,6.2335695436073e-06,0.147265609398493,0.546588425708066,-12477.0094005021
"27.5%",0.0421713562006049,0.00488808781964354,6.94670469328654e-06,0.148250810090713,0.546802276580477,-12476.8491847573
"30%",0.0421843551374208,0.00490337035785104,7.89782439760994e-06,0.149221189557447,0.547002642505126,-12476.7016310898
"32.5%",0.0421964790448069,0.00491414432843929,8.70496050919202e-06,0.150188890203792,0.547229828556941,-12476.561924188
"35%",0.0422088206379084,0.00492768318640723,9.58001664164931e-06,0.150979430546141,0.547444082034301,-12476.419457717
"37.5%",0.0422192094292095,0.00493860149281746,1.04654673062645e-05,0.151768935630056,0.547633767368719,-12476.2979172315
"40%",0.0422341907676017,0.00494920544399643,1.14296195224723e-05,0.152653400819288,0.547795400635872,-12476.1811432058
"42.5%",0.0422468593755278,0.00496069470254667,1.24782370429346e-05,0.153506092207002,0.548008737873057,-12476.0722784331
"45%",0.042258100660226,0.00497107717218777,1.34790794259946e-05,0.154475333217612,0.548176984789476,-12475.9608697552
"47.5%",0.0422703328263991,0.00498177822616468,1.44962754963803e-05,0.155229098381141,0.548371294044201,-12475.8559458186
"50%",0.0422824443976319,0.00499265012997921,1.57338673252785e-05,0.156103423807187,0.548543296499707,-12475.7574123042
"52.5%",0.0422943109495816,0.00500438091662705,1.69675319581391e-05,0.156886457372586,0.548742650557084,-12475.6603710108
"55%",0.0423084767671374,0.00501550595099868,1.82511138680138e-05,0.157807046581682,0.548940480647808,-12475.5660979302
"57.5%",0.0423201532225618,0.00502978254812109,1.96007676973934e-05,0.15866445122142,0.549122889859726,-12475.4713689743
"60%",0.0423303650614359,0.00504367987921598,2.08815210534554e-05,0.159452936612548,0.549308975082452,-12475.3761200457
"62.5%",0.0423414735745924,0.00505527909532877,2.25443778206805e-05,0.160379489193611,0.549477459082405,-12475.2798004494
"65%",0.0423536572276034,0.00506813927919104,2.40835783958818e-05,0.161285159403993,0.549693692344906,-12475.1927575557
"67.5%",0.0423634487629496,0.00508159550992781,2.56529518752741e-05,0.162230316288782,0.549890363630333,-12475.0989270504
"70%",0.0423760562965761,0.00509531016943978,2.7585460414477e-05,0.163206194368343,0.550117680799214,-12475.0163996156
"72.5%",0.0423905651071489,0.00511139959092307,2.94482647647496e-05,0.164306041646728,0.550323553691954,-12474.9232665202
"75%",0.0424026059241399,0.00512525220023965,3.14036260901695e-05,0.165331667440078,0.55055925541795,-12474.8260111799
"77.5%",0.0424171973449415,0.00513902499803919,3.35955396066222e-05,0.166397879271317,0.550786772929783,-12474.732961522
"80%",0.0424314568959158,0.0051550127213823,3.60489886656056e-05,0.167454313395838,0.551052369238193,-12474.6428507789
"82.5%",0.0424475406230487,0.00516972010805284,3.95303872063637e-05,0.168748438979272,0.551339961461415,-12474.5398523358
"85%",0.0424696544936724,0.00518969518687385,4.27875381121354e-05,0.170292594543265,0.551632058866759,-12474.4372201082
"87.5%",0.0424919775555293,0.00521127795916368,4.68198977494653e-05,0.171948670024153,0.552001965367516,-12474.3226068012
"90%",0.0425166456724712,0.00523566395725643,5.16854453183403e-05,0.173924268445156,0.552387472172751,-12474.2039101163
"92.5%",0.0425441008440155,0.00526679108101382,5.76636138491976e-05,0.176587906136687,0.552815218013879,-12474.0830087097
"95%",0.0425797863295712,0.00530329187654883,6.71228377656921e-05,0.179308497739676,0.553449580866846,-12473.9247253806
"97.5%",0.0426369438589011,0.00536139635446428,8.31783372475641e-05,0.183970077434502,0.554360295875538,-12473.7334626361
"100%",0.0429608000603402,0.00564152338044972,0.000320177830453821,0.21665154682104,0.559956396727668,-12473.1680313824
